Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF,MACD9,OSC,K,D,S_P500,SOXX,ADR,TaiwanAll
2011/8/24,67.7,67.7,66.4,67.5,65.52,65.77,67.39,71.46,50480,53198,49987,-1.53,-1.69,0.16,68.70%,53.27%,1162.35,346.09,11.84,7502.93
2011/8/25,67.4,67.6,66.4,67,66.04,65.83,67.09,71.29,30883,44710,47637,-1.36,-1.62,0.27,74.17%,60.23%,1177.6,345.69,11.74,7410.87
2011/8/26,67.1,68.3,67,67.9,66.84,66.11,66.88,71.15,40513,42959,45254,-1.14,-1.53,0.38,80.26%,66.91%,1159.27,336.33,11.35,7445.1
2011/8/29,68.6,69.9,68.1,69.4,67.72,66.37,66.72,71.02,38635,41412,45093,-0.85,-1.39,0.54,84.43%,72.75%,1176.8,345.78,11.81,7578.01
2011/8/30,70.3,70.3,68.6,69,68.16,66.67,66.6,70.88,33757,38854,44566,-0.61,-1.23,0.63,83.68%,76.39%,1210.08,358.44,12.13,7646.19
2011/8/31,69.1,69.4,67.8,69.4,68.54,67.03,66.57,70.74,47790,38316,45757,-0.43,-1.07,0.65,85.01%,79.27%,1212.92,358.23,11.97,7741.36
2011/9/1,69.4,69.8,68.6,68.6,68.86,67.45,66.5,70.6,47995,41738,43224,-0.29,-0.92,0.63,82.25%,80.26%,1218.89,355.79,11.97,7757.76
2011/9/2,69.5,69.5,67.1,67.5,68.78,67.81,66.54,70.47,44964,42628,42794,-0.26,-0.79,0.53,70.55%,77.02%,1204.42,349.85,11.89,7757.06
2011/9/5,66.1,67.1,65.9,66.6,68.22,67.97,66.61,70.34,49912,44884,43148,-0.34,-0.7,0.36,52.34%,68.80%,1173.97,341.46,11.66,7551.57
2011/9/6,66.5,67.2,66.1,66.1,67.64,67.9,66.75,70.17,40851,46302,42578,-0.41,-0.64,0.23,36.41%,58.00%,1165.24,339.09,11.52,7367.19
2011/9/7,67,68.6,66.8,68.6,67.48,68.01,66.89,70.03,40117,44768,41542,-0.33,-0.58,0.25,44.73%,53.58%,1198.62,354.26,12.05,7529.01
2011/9/8,69.6,69.6,68.4,68.7,67.5,68.18,67.01,69.92,43046,43778,42758,-0.2,-0.5,0.3,51.03%,52.73%,1185.9,352.15,12,7548.37
2011/9/9,69.5,70.1,68.9,69.3,67.86,68.32,67.22,69.84,38351,42455,42542,-0.05,-0.41,0.36,59.78%,55.08%,1154.23,348.4,11.88,7610.57
2011/9/13,69.6,70,68.4,68.4,68.22,68.22,67.3,69.73,34951,39463,42173,0.02,-0.32,0.34,59.69%,56.62%,1162.27,358.96,11.94,7391.37
2011/9/14,69.5,69.6,66.9,67.2,68.44,68.04,67.36,69.58,60846,43462,44882,-0.01,-0.26,0.25,50.11%,54.45%,1172.87,366.17,11.96,7228.47
2011/9/15,69,69.8,68.5,69.1,68.54,68.01,67.52,69.48,44237,44286,44527,0.07,-0.2,0.27,58.81%,55.90%,1188.68,375.73,11.82,7385.68
2011/9/16,70.4,72,70.3,71.1,69.02,68.26,67.86,69.43,78609,51399,47588,0.3,-0.1,0.4,67.62%,59.81%,1209.11,381.09,12.11,7577.4
2011/9/19,71.4,71.7,70.7,71.2,69.4,68.63,68.22,69.4,28799,49488,45972,0.48,0.02,0.46,73.89%,64.50%,1216.01,381.91,12.41,7480.88
2011/9/20,71,71.7,69.7,70.5,69.82,69.02,68.5,69.38,46911,51880,45672,0.57,0.13,0.44,72.98%,67.33%,1204.09,377.49,12.22,7492.85
2011/9/21,71,72.1,70.9,72,70.78,69.61,68.76,69.37,54414,50594,47028,0.72,0.25,0.47,81.35%,72.00%,1202.09,372.76,12.12,7535.88
2011/9/22,70.2,70.5,69,69,70.76,69.65,68.83,69.33,64921,54731,49509,0.64,0.33,0.32,67.69%,70.56%,1166.76,365.37,11.92,7305.5
2011/9/23,68.2,68.9,67.4,67.5,70.04,69.53,68.86,69.25,89409,56891,54145,0.45,0.35,0.1,48.97%,63.37%,1129.56,352.78,11.52,7046.22
2011/9/26,67.7,68.3,66.9,67.2,69.24,69.32,68.82,69.16,61686,63468,56478,0.26,0.33,-0.07,34.57%,53.77%,1136.43,359.95,11.71,6877.12
2011/9/27,68.9,70.2,68.7,69.9,69.12,69.47,68.85,69.1,56720,65430,58655,0.29,0.33,-0.03,42.28%,49.94%,1162.95,359.5,11.56,7089.95
2011/9/28,70.8,70.9,69.8,70.3,68.78,69.78,68.91,69.05,46783,63904,57249,0.37,0.33,0.03,49.98%,49.95%,1175.38,366.01,12.02,7146.98
2011/9/29,69.6,70.9,69.3,70.3,69.04,69.9,68.96,69.01,39956,58911,56821,0.41,0.35,0.06,55.12%,51.67%,1151.06,355.36,11.77,7182.61
2011/9/30,70.3,70.8,69,70,69.54,69.79,69.03,68.98,60518,53133,55012,0.42,0.36,0.05,56.62%,53.32%,1160.4,350.82,11.81,7225.38
2011/10/3,70,70,68.1,68.6,69.82,69.53,69.08,68.92,33969,47589,55529,0.33,0.36,-0.03,48.64%,51.76%,1131.42,338.82,11.43,7013.97
2011/10/4,70,70,68.2,69.1,69.66,69.39,69.21,68.88,36568,43559,54494,0.28,0.34,-0.06,50.76%,51.43%,1099.23,326.37,11.31,7047.87
2011/10/5,68.9,69.7,68.7,69.1,69.42,69.1,69.36,68.86,36350,41472,52688,0.24,0.32,-0.08,52.17%,51.68%,1123.95,340.23,11.74,6989.15
2011/10/6,69.7,69.9,68.7,69,69.16,69.1,69.38,68.81,57264,44934,51922,0.21,0.3,-0.09,52.28%,51.88%,1144.03,350.78,11.82,7132
2011/10/7,69.5,69.6,68.7,69.1,68.98,69.26,69.4,68.78,47924,42415,47774,0.18,0.27,-0.1,46.76%,50.17%,1164.97,355.17,11.83,7211.96
2011/10/11,70,70.4,69.6,70,69.26,69.54,69.43,68.78,55727,46767,47178,0.22,0.26,-0.04,53.79%,51.38%,1155.46,356.73,11.8,7398.71
2011/10/12,70.5,70.5,69.6,70.4,69.52,69.59,69.53,68.79,41639,47781,45670,0.27,0.26,0.01,63.24%,55.33%,1195.54,365.7,11.86,7382.35
2011/10/13,69.8,70.4,68.8,70.4,69.78,69.6,69.69,68.83,58477,52206,46839,0.29,0.27,0.02,70.56%,60.41%,1207.25,369.18,12.16,7428.33
2011/10/14,70.8,70.8,69.9,70.3,70.04,69.6,69.75,68.8,38791,48512,46723,0.33,0.28,0.05,74.20%,65.00%,1203.66,376.6,12.17,7358.08
2011/10/17,70.8,71.1,70.5,71.1,70.44,69.71,69.75,68.8,39054,46738,44576,0.4,0.3,0.1,82.80%,70.94%,1224.58,380.86,12.3,7461.12
2011/10/18,70.1,70.7,70,70.7,70.58,69.92,69.73,68.77,25860,40764,43765,0.42,0.33,0.09,82.98%,74.95%,1200.86,370.31,12.01,7359.48
2011/10/19,71,71.1,70.2,71.1,70.72,70.12,69.76,68.76,32281,38893,43337,0.46,0.35,0.11,88.65%,79.52%,1225.38,378.66,12.21,7353.37
2011/10/20,70.5,70.7,69.6,69.7,70.58,70.18,69.64,68.69,27287,32655,42430,0.41,0.37,0.04,72.99%,77.34%,1209.88,370.16,12.11,7244.32
2011/10/21,70.7,70.7,69.6,70.3,70.58,70.31,69.71,68.64,17966,28490,38501,0.39,0.37,0.02,70.40%,75.03%,1215.39,363.88,11.81,7254.51
2011/10/24,71.2,71.9,71.2,71.7,70.7,70.57,69.92,68.62,50146,30708,38723,0.48,0.39,0.09,78.12%,76.06%,1238.25,372.1,12.18,7470.3
2011/10/25,71.8,72,71,71.5,70.86,70.72,70.13,68.61,43179,34172,37468,0.54,0.42,0.12,80.20%,77.44%,1254.19,384.65,12.48,7491.21
2011/10/26,71.4,72,71.1,71.9,71.02,70.87,70.23,68.6,25727,32861,35877,0.59,0.46,0.14,85.41%,80.10%,1229.05,377.46,12.19,7535.82
2011/10/27,72,72.2,71.4,71.9,71.46,71.02,70.31,68.61,39438,35291,33973,0.64,0.49,0.15,86.43%,82.21%,1242,379.48,12.25,7565.21
2011/10/28,73.5,74,72.1,73.1,72.02,71.3,70.45,68.66,93383,50375,39432,0.77,0.55,0.22,84.13%,82.85%,1284.59,395.74,12.95,7616.06
2011/10/31,73.5,73.8,73.1,73.6,72.4,71.55,70.63,68.72,46792,49704,40206,0.89,0.62,0.28,86.39%,84.03%,1285.09,396.33,12.74,7587.69
2011/11/1,73.5,74,73,73.8,72.86,71.86,70.89,68.84,37363,48541,41356,0.99,0.69,0.3,89.41%,85.82%,1253.3,386.49,12.62,7622.01
2011/11/2,73.1,73.9,72.4,73.9,73.26,72.14,71.13,68.98,34694,50334,41598,1.05,0.76,0.29,92.18%,87.94%,1218.28,374.05,12.45,7598.45
2011/11/3,74.2,74.2,72.3,73.5,73.58,72.52,71.35,69.15,43448,51136,43214,1.07,0.82,0.24,87.50%,87.80%,1237.9,375.88,12.72,7460.31
2011/11/4,74.5,74.9,73.9,74.6,73.88,72.95,71.63,69.3,57309,43921,47148,1.16,0.89,0.27,89.10%,88.23%,1261.15,387.15,12.9,7603.23
2011/11/7,75,75.2,74.3,75,74.16,73.28,71.93,69.44,29686,40500,45102,1.25,0.96,0.29,91.11%,89.19%,1253.23,391.48,12.98,7621.72
2011/11/8,75,75,74,74.5,74.3,73.58,72.15,69.6,21482,37324,42932,1.28,1.03,0.25,87.93%,88.77%,1261.12,390.87,13,7600.79
2011/11/9,74.9,74.9,74.1,74.1,74.34,73.8,72.34,69.72,20576,34500,42417,1.27,1.08,0.19,80.13%,85.89%,1275.92,393.22,12.93,7561.86
2011/11/10,72.5,73.4,72.5,72.6,74.16,73.87,72.45,69.83,49449,35700,43418,1.13,1.09,0.04,56.87%,76.21%,1229.1,375.04,12.48,7308.68
2011/11/11,73.5,73.6,72.6,73.4,73.92,73.9,72.6,69.96,27528,29744,36833,1.04,1.08,-0.04,50.55%,67.66%,1239.69,378.23,12.67,7367.29
2011/11/14,74.9,76,74.6,75.9,74.1,74.13,72.84,70.15,63725,36552,38526,1.14,1.09,0.05,66.14%,67.15%,1263.85,391.6,12.95,7525.65
2011/11/15,75.5,76,75,76,74.4,74.35,73.11,70.35,37165,39689,38506,1.23,1.12,0.11,77.42%,70.58%,1251.78,386.56,12.98,7491.06
2011/11/16,76,76,74.9,75.4,74.66,74.5,73.32,70.52,39988,43571,39036,1.25,1.14,0.11,79.23%,73.46%,1257.81,392.23,13.08,7387.52
2011/11/17,75.2,76,74.8,75.7,75.28,74.72,73.62,70.67,34945,40670,38185,1.27,1.17,0.1,83.30%,76.74%,1236.91,389.92,12.74,7387.81
2011/11/18,75,75.2,73.7,74.2,75.44,74.68,73.82,70.78,56459,46456,38100,1.17,1.17,0,71.72%,75.07%,1216.13,374.35,12.71,7233.78
2011/11/21,73.2,73.9,73,73.3,74.92,74.51,73.9,70.89,23406,38393,37472,1,1.13,-0.14,55.43%,68.52%,1215.65,371.25,12.66,7042.64
2011/11/22,75.2,75.2,73.8,74,74.52,74.46,74.02,70.99,47492,40458,40073,0.93,1.09,-0.17,51.24%,62.76%,1192.98,364.2,12.56,7000.03
