丁,秨絃基,程蔼基,程基,Μ絃基,SMA5,SMA10,SMA20,SMA60,Θユ秖,MA5,MA10,DIF12-26,MACD9,OSC,"K(9,3)","D(9,3)",RSI 6,RSI 12,BBand width,Band%EMA3
2013/3/28,44.1,44.2,43.5,44.1,44,43.11,41.73,38.21,741,657,721,1.45,1.31,0.14,82.54%,83.72%,76.92%,75.35%,16.51%,15.93%
2013/3/29,44.5,45.95,44.4,45.4,44.48,43.58,42.04,38.43,1633,908,856,1.53,1.35,0.18,83.19%,83.55%,86.25%,80.75%,17.16%,16.54%
2013/4/1,45.85,46.7,45.1,46.5,44.92,43.99,42.43,38.65,883,877,751,1.64,1.41,0.23,87.21%,84.77%,90.25%,84.00%,17.59%,17.07%
2013/4/2,46,46.7,46,46.2,45.26,44.35,42.79,38.87,561,875,719,1.72,1.47,0.25,87.50%,85.68%,82.40%,79.99%,17.57%,17.32%
2013/4/3,46.4,46.55,45.7,46.3,45.7,44.73,43.09,39.09,662,896,743,1.76,1.53,0.23,88.38%,86.58%,82.99%,80.33%,17.98%,17.65%
2013/4/8,45.8,45.8,44.15,44.4,45.76,44.88,43.26,39.27,886,925,791,1.65,1.55,0.1,69.70%,80.95%,46.99%,59.35%,17.52%,17.58%
2013/4/9,44.5,45.35,43.85,44.35,45.55,45.02,43.4,39.45,620,722,815,1.52,1.55,-0.02,55.32%,72.41%,46.35%,58.91%,17.18%,17.38%
2013/4/10,44.35,44.85,44,44.1,45.07,45,43.54,39.63,317,609,743,1.39,1.52,-0.12,43.13%,62.65%,42.87%,56.61%,16.53%,16.96%
2013/4/11,44.3,44.95,44.3,44.35,44.7,44.98,43.73,39.81,352,567,721,1.29,1.47,-0.18,37.61%,54.30%,47.59%,58.38%,15.40%,16.18%
2013/4/12,44.4,44.4,43.95,44,44.24,44.97,43.88,39.99,454,526,711,1.17,1.41,-0.24,26.83%,45.14%,41.79%,54.96%,14.16%,15.17%
2013/4/15,43.5,43.55,41.85,41.9,43.74,44.75,43.93,40.12,1724,693,809,0.91,1.31,-0.4,18.23%,36.17%,22.26%,39.71%,13.39%,14.28%
2013/4/16,41,43.15,41,42.8,43.43,44.49,44.04,40.28,657,701,712,0.71,1.19,-0.48,22.68%,31.67%,37.33%,46.63%,11.82%,13.05%
2013/4/17,43.5,43.5,42.85,42.9,43.19,44.13,44.06,40.44,283,694,652,0.6,1.07,-0.47,26.53%,29.96%,38.90%,47.36%,11.57%,12.31%
2013/4/18,42.8,43.45,42.5,42.9,42.9,43.8,44.08,40.56,283,680,624,0.49,0.96,-0.46,30.88%,30.27%,38.90%,47.36%,11.43%,11.87%
2013/4/19,43.1,43.4,42.9,43.2,42.74,43.49,44.11,40.68,191,628,577,0.42,0.85,-0.43,37.45%,32.66%,44.90%,49.82%,11.13%,11.50%
2013/4/22,43.2,43.85,43.2,43.3,43.02,43.38,44.13,40.82,237,330,512,0.38,0.76,-0.37,44.37%,36.56%,46.98%,50.66%,10.95%,11.22%
2013/4/23,43.6,43.6,42.85,42.85,43.03,43.23,44.12,40.94,229,245,473,0.32,0.67,-0.35,45.19%,39.44%,39.02%,46.82%,11.02%,11.12%
2013/4/24,43.1,43.35,43.1,43.1,43.07,43.13,44.06,41.08,239,236,465,0.27,0.59,-0.32,50.72%,43.20%,45.21%,49.16%,11.21%,11.16%
2013/4/25,43.1,43.25,42.9,43.1,43.11,43.01,43.99,41.21,179,215,448,0.23,0.52,-0.29,58.37%,48.26%,45.21%,49.16%,11.34%,11.25%
2013/4/26,42.9,43.3,42.9,42.9,43.05,42.9,43.93,41.33,260,229,428,0.18,0.45,-0.27,61.14%,52.55%,40.48%,47.18%,11.56%,11.40%
2013/4/29,43.1,43.1,42.3,42.3,42.85,42.94,43.84,41.41,214,224,277,0.11,0.38,-0.28,40.76%,48.62%,29.40%,41.70%,12.02%,11.71%
2013/4/30,42.5,42.85,42.5,42.85,42.85,42.94,43.72,41.49,183,215,230,0.07,0.32,-0.25,39.00%,45.41%,45.74%,47.77%,11.74%,11.73%
2013/5/2,42.7,43.2,42.6,43.1,42.85,42.96,43.55,41.58,96,186,211,0.05,0.27,-0.21,43.20%,44.68%,51.82%,50.33%,10.27%,11.00%
2013/5/3,43.15,43.25,43,43,42.83,42.97,43.39,41.66,210,193,204,0.05,0.22,-0.18,43.86%,44.40%,49.17%,49.28%,8.68%,9.84%
2013/5/6,43.25,43.4,42.95,43.4,42.93,42.99,43.24,41.76,322,205,217,0.06,0.19,-0.13,57.44%,48.75%,59.17%,53.53%,6.14%,7.99%
2013/5/7,43.3,43.95,43.3,43.6,43.19,43.02,43.2,41.84,256,213,219,0.09,0.17,-0.08,64.56%,54.02%,63.49%,55.56%,5.69%,6.84%
2013/5/8,43.8,43.9,43.4,43.5,43.32,43.09,43.16,41.93,339,245,230,0.12,0.16,-0.04,67.28%,58.44%,59.70%,54.26%,5.19%,6.02%
2013/5/9,45.4,46.5,45.15,46.5,44,43.43,43.28,42.07,1697,565,376,0.34,0.2,0.15,78.19%,65.02%,87.19%,74.04%,8.34%,7.18%
2013/5/10,47.65,47.9,46.65,47.1,44.82,43.83,43.42,42.22,1517,826,509,0.59,0.28,0.32,80.70%,70.25%,88.99%,76.28%,11.16%,9.17%
2013/5/13,47.5,47.65,46.7,47.5,45.64,44.29,43.59,42.39,661,894,550,0.8,0.38,0.42,84.66%,75.05%,90.10%,77.68%,13.78%,11.47%
2013/5/14,47.75,47.75,47.1,47.2,46.36,44.78,43.86,42.52,424,928,571,0.95,0.49,0.45,85.37%,78.49%,82.59%,74.10%,14.97%,13.22%
2013/5/15,47.25,50.4,47.25,49.65,47.59,45.46,44.2,42.72,1209,1102,673,1.2,0.64,0.57,86.89%,81.29%,90.42%,81.64%,18.55%,15.88%
2013/5/16,50,50.8,49.45,49.8,48.25,46.13,44.54,42.92,656,893,729,1.45,0.8,0.65,87.02%,83.20%,90.73%,81.99%,21.19%,18.53%
2013/5/17,49.8,49.8,48.8,49.3,48.69,46.76,44.86,43.09,462,682,754,1.58,0.95,0.62,84.68%,83.69%,80.43%,76.67%,22.66%,20.60%
2013/5/20,49.3,49.3,48.65,49,48.99,47.32,45.15,43.26,388,628,761,1.63,1.09,0.54,81.68%,83.02%,74.36%,73.55%,23.59%,22.10%
2013/5/21,49,49.3,48.7,49.3,49.41,47.89,45.45,43.42,378,619,773,1.67,1.2,0.46,78.93%,81.66%,76.49%,74.68%,24.41%,23.25%
2013/5/22,49.4,50.7,49.4,50.3,49.54,48.57,45.83,43.59,730,523,812,1.76,1.32,0.44,81.94%,81.75%,82.35%,78.07%,25.28%,24.27%
2013/5/23,50,50.4,49.5,50,49.58,48.92,46.17,43.76,822,556,725,1.79,1.41,0.38,81.46%,81.65%,75.57%,74.79%,25.66%,24.96%
2013/5/24,50,50,49.05,49.3,49.58,49.14,46.48,43.92,417,547,615,1.76,1.48,0.28,74.12%,79.14%,61.40%,67.57%,25.37%,25.17%
2013/5/27,49,50.7,49,50.3,49.84,49.42,46.85,44.1,734,616,622,1.76,1.54,0.22,78.05%,78.78%,70.79%,71.81%,25.10%,25.14%
2013/5/28,50.8,53.2,50.8,52.9,50.56,49.99,47.38,44.32,1121,765,692,1.93,1.62,0.32,83.17%,80.24%,83.39%,79.44%,25.55%,25.34%
2013/5/29,54,55,53.5,54.2,51.34,50.44,47.95,44.57,1281,875,699,2.19,1.73,0.46,84.58%,81.69%,86.81%,82.08%,26.56%,25.95%
2013/5/30,54.1,54.1,52.7,53.2,51.98,50.78,48.45,44.81,566,824,690,2.29,1.84,0.45,80.27%,81.22%,72.96%,74.09%,26.22%,26.08%
2013/5/31,54,56.5,54,55.5,53.22,51.4,49.08,45.08,1273,995,771,2.51,1.97,0.53,82.57%,81.67%,81.23%,79.18%,26.65%,26.37%
2013/6/3,54.9,56.6,54.9,55.5,54.26,52.05,49.68,45.34,1584,1165,891,2.67,2.11,0.56,83.56%,82.30%,81.23%,79.18%,26.43%,26.40%
2013/6/4,55.5,56.2,54.8,54.8,54.64,52.6,50.24,45.57,787,1098,932,2.73,2.24,0.49,81.14%,81.91%,71.63%,73.92%,25.08%,25.74%
2013/6/5,54.8,55.4,54.5,54.8,54.76,53.05,50.81,45.79,407,923,899,2.72,2.33,0.39,79.53%,81.12%,71.63%,73.92%,22.78%,24.26%
2013/6/6,54.4,54.4,53.4,53.7,54.86,53.42,51.17,46,640,938,881,2.6,2.39,0.21,73.64%,78.63%,56.52%,65.75%,21.74%,23.00%
2013/6/7,55.4,57.2,54.1,55,54.76,53.99,51.56,46.23,1936,1071,1033,2.6,2.43,0.17,70.97%,76.07%,66.53%,70.02%,21.22%,22.11%
2013/6/10,57,57,55.6,55.7,54.8,54.53,51.97,46.48,838,922,1043,2.62,2.47,0.15,69.53%,73.89%,70.87%,72.07%,20.86%,21.48%
2013/6/11,55.7,56.5,55,55.2,54.88,54.76,52.37,46.72,751,914,1006,2.56,2.49,0.08,64.87%,70.89%,63.78%,68.43%,19.57%,20.53%
2013/6/13,55,55.4,52.9,53.5,54.62,54.69,52.57,46.93,1008,1035,979,2.36,2.46,-0.1,47.90%,63.22%,45.31%,57.64%,18.98%,19.75%
2013/6/14,54.3,57.2,53.5,57.2,55.32,55.09,52.94,47.18,1762,1259,1099,2.37,2.44,-0.07,65.27%,63.91%,68.86%,69.18%,19.67%,19.71%
2013/6/17,57.4,59.8,56,59.6,56.24,55.5,53.45,47.46,2562,1384,1228,2.54,2.46,0.08,75.88%,67.90%,76.68%,74.16%,21.26%,20.49%
2013/6/18,59.8,61.9,59.8,60.2,57.14,55.97,54.01,47.76,2246,1666,1294,2.8,2.53,0.27,77.62%,71.14%,78.31%,75.25%,22.28%,21.38%
2013/6/19,60.9,61.9,60.1,60.3,58.16,56.52,54.56,48.05,912,1698,1306,2.97,2.62,0.35,79.16%,73.81%,78.61%,75.44%,22.73%,22.06%
2013/6/20,59.4,59.9,58.8,59.2,59.3,56.96,55.01,48.32,971,1691,1363,2.96,2.69,0.28,76.10%,74.58%,66.49%,69.12%,22.51%,22.28%
2013/6/21,57.1,58.1,55.7,57.8,59.42,57.37,55.4,48.54,1200,1578,1419,2.77,2.7,0.07,68.88%,72.68%,53.81%,61.92%,21.14%,21.71%
2013/6/24,57.8,58.3,57.4,57.6,59.02,57.63,55.81,48.76,450,1156,1270,2.62,2.69,-0.07,63.33%,69.56%,52.11%,60.93%,18.67%,20.19%
2013/6/25,57.5,57.8,53.7,54,57.78,57.46,56,48.93,1409,988,1327,2.24,2.6,-0.35,46.29%,61.81%,30.95%,46.38%,16.59%,18.39%
2013/6/26,55.9,56.1,55,56,56.92,57.54,56.15,49.12,662,938,1318,2,2.48,-0.48,40.78%,54.80%,45.66%,53.16%,15.76%,17.07%
2013/6/27,56.8,58.8,56.5,58.5,56.78,58.04,56.37,49.34,1012,947,1319,1.96,2.37,-0.41,46.70%,52.10%,58.82%,60.05%,15.76%,16.42%
2013/6/28,59.3,59.3,57,57.9,56.8,58.11,56.6,49.53,732,853,1216,1.91,2.28,-0.37,48.21%,50.80%,54.98%,57.82%,14.98%,15.70%
2013/7/1,57.7,59.4,57.3,58.8,57.04,58.03,56.77,49.74,911,945,1051,1.89,2.2,-0.31,52.87%,51.49%,59.71%,60.23%,15.19%,15.45%
2013/7/2,59.3,61.5,59.3,60,58.24,58.01,56.99,49.97,1265,916,952,1.98,2.16,-0.18,62.17%,55.05%,65.51%,63.29%,15.76%,15.60%
2013/7/3,61,61.3,59.9,60.5,59.14,58.03,57.28,50.24,892,962,950,2.06,2.14,-0.08,70.51%,60.20%,67.82%,64.53%,16.13%,15.87%
2013/7/4,60.8,60.9,59.3,60,59.44,58.11,57.54,50.5,577,875,911,2.06,2.12,-0.07,73.93%,64.78%,62.77%,62.24%,16.06%,15.96%
2013/7/5,61.5,62.5,60.6,62.1,60.28,58.54,57.96,50.8,1636,1056,955,2.17,2.13,0.04,81.10%,70.22%,72.93%,67.52%,16.13%,16.05%
2013/7/8,63,66.4,62.6,66.4,61.8,59.42,58.53,51.17,4176,1709,1327,2.53,2.21,0.32,87.40%,75.95%,83.80%,75.25%,19.65%,17.85%
2013/7/9,66.9,71,66.5,71,64,61.12,59.29,51.62,4848,2426,1671,3.13,2.4,0.74,91.60%,81.17%,89.31%,80.63%,26.19%,22.02%
2013/7/10,69.8,70.5,68.5,69.3,65.76,62.45,60,52.07,3468,2941,1952,3.53,2.62,0.91,90.35%,84.23%,77.61%,74.13%,28.86%,25.44%
2013/7/11,70,70.6,68,68.9,67.54,63.49,60.77,52.51,2352,3296,2086,3.78,2.85,0.92,88.46%,85.64%,74.84%,72.63%,29.44%,27.44%
2013/7/12,69,73.7,68,73.7,69.86,65.07,61.59,53.02,4262,3821,2439,4.18,3.12,1.06,92.31%,87.86%,83.38%,78.37%,33.78%,30.61%
2013/7/15,75,78.8,75,76.3,71.84,66.82,62.43,53.58,4242,3834,2772,4.8,3.46,1.34,90.60%,88.77%,86.38%,80.75%,38.96%,34.79%
2013/7/16,76.3,81.6,75,81.6,73.96,68.98,63.5,54.22,4573,3779,3103,5.49,3.86,1.63,93.73%,90.43%,90.56%,84.54%,46.28%,40.53%
2013/7/17,79,86,79,82.6,76.62,71.19,64.61,54.87,6580,4402,3671,6.18,4.33,1.85,91.36%,90.74%,91.17%,85.15%,51.97%,46.25%
2013/7/18,83.2,85.8,80.7,83.6,79.56,73.55,65.83,55.55,3798,4691,3994,6.72,4.8,1.91,90.82%,90.76%,91.81%,85.75%,56.20%,51.23%
2013/7/19,83.7,85.3,80,80,80.82,75.34,66.94,56.17,2999,4438,4130,6.9,5.22,1.67,83.62%,88.38%,69.97%,73.92%,57.04%,54.13%
2013/7/22,80.2,83.9,80.2,83.6,82.28,77.06,68.24,56.84,2702,4130,3982,7.08,5.59,1.48,84.64%,87.14%,76.64%,77.33%,58.31%,56.22%
2013/7/23,85.5,89.4,85,89.4,83.84,78.9,70.01,57.62,3921,4000,3890,7.58,5.99,1.58,89.76%,88.01%,83.65%,81.57%,59.40%,57.81%
2013/7/24,95,95.6,94.1,95.6,86.44,81.53,71.99,58.51,3284,3341,3871,8.43,6.48,1.95,93.17%,89.73%,88.20%,84.87%,62.64%,60.22%
2013/7/25,99.9,102,97.3,99.6,89.64,84.6,74.05,59.45,8026,4186,4439,9.36,7.05,2.3,92.49%,90.65%,90.29%,86.56%,66.57%,63.40%
2013/7/26,102.5,106.5,102,106.5,94.94,87.88,76.48,60.51,4598,4506,4472,10.43,7.73,2.7,94.99%,92.10%,92.90%,88.90%,71.26%,67.33%
2013/7/29,110,113.5,109,113.5,100.92,91.6,79.21,61.68,4049,4776,4453,11.72,8.53,3.19,96.66%,93.62%,94.65%,90.69%,76.76%,72.04%
2013/7/30,117,117,106.5,114,105.84,94.84,81.91,62.86,5557,5103,4551,12.63,9.35,3.28,95.07%,94.10%,94.76%,90.81%,79.62%,75.83%
2013/7/31,111.5,113.5,106.5,106.5,108.02,97.23,84.21,63.91,2867,5019,4180,12.83,10.04,2.79,87.25%,91.82%,69.06%,75.47%,77.74%,76.78%
2013/8/1,107,113.5,107,113.5,110.8,100.22,86.89,65.08,3943,4203,4195,13.13,10.66,2.47,88.33%,90.66%,76.27%,79.07%,76.24%,76.51%
2013/8/2,115,120,112,116.5,112.8,103.87,89.61,66.24,3326,3948,4227,13.57,11.24,2.32,88.89%,90.07%,78.81%,80.41%,74.70%,75.61%
2013/8/5,119,124.5,117.5,124.5,115,107.96,92.51,67.53,2998,3738,4257,14.27,11.85,2.42,92.59%,90.91%,84.21%,83.49%,75.58%,75.59%
2013/8/6,127.5,130,123,127,117.6,111.72,95.31,68.86,3808,3388,4246,14.98,12.47,2.51,92.00%,91.27%,85.59%,84.33%,76.70%,76.15%
2013/8/7,125,129.5,118.5,118.5,120,114.01,97.77,70.05,4030,3621,4320,14.93,12.97,1.96,80.98%,87.84%,63.11%,70.94%,73.31%,74.73%
2013/8/8,126.5,126.5,125.5,126.5,122.6,116.7,100.65,71.33,2810,3394,3799,15.11,13.39,1.72,82.35%,86.01%,71.55%,75.01%,70.24%,72.48%
2013/8/9,133,135,133,135,126.3,119.55,103.72,72.75,1449,3019,3484,15.74,13.86,1.88,88.24%,86.75%,77.97%,78.51%,69.60%,71.04%
2013/8/12,137,137,130,133,128,121.5,106.55,74.14,4661,3352,3545,15.96,14.28,1.68,87.79%,87.10%,73.30%,75.79%,67.46%,69.25%
2013/8/13,134,142,132,142,131,124.3,109.57,75.69,4723,3535,3462,16.45,14.72,1.73,91.86%,88.68%,79.83%,79.31%,67.86%,68.55%
2013/8/14,148,151.5,140.5,149,137.1,128.55,112.89,77.35,8203,4369,3995,17.28,15.23,2.05,92.46%,89.94%,83.58%,81.58%,68.69%,68.62%
2013/8/15,143.5,155.5,143.5,154,142.6,132.6,116.41,79.08,4032,4614,4004,18.07,15.8,2.27,93.66%,91.18%,85.83%,83.03%,69.16%,68.89%
2013/8/16,154,157.5,148,151.5,145.9,136.1,119.99,80.77,3399,5004,4011,18.52,16.34,2.18,90.64%,91.00%,79.30%,79.61%,65.63%,67.26%
2013/8/19,151,151.5,141,141,147.5,137.75,122.86,82.3,4807,5033,4192,17.98,16.67,1.31,79.66%,87.22%,57.30%,66.96%,59.61%,63.43%
2013/8/20,141,142.5,132.5,134,145.9,138.45,125.09,83.7,5219,5132,4333,16.72,16.68,0.04,61.96%,78.80%,46.90%,60.03%,53.56%,58.49%
2013/8/22,134.5,138.5,131,137,143.5,140.3,127.16,85.1,4663,4424,4397,15.56,16.45,-0.9,49.79%,69.13%,51.43%,61.87%,48.72%,53.61%
2013/8/23,143,144,139,139,140.5,141.55,129.13,86.51,4337,4485,4549,14.81,16.13,-1.31,44.10%,60.79%,54.54%,63.11%,44.35%,48.98%
2013/8/26,142,148,138.5,144.5,139.1,142.5,131.03,88.03,4203,4646,4825,14.35,15.77,-1.42,46.38%,55.99%,62.46%,66.39%,41.82%,45.40%
2013/8/27,145,146.5,134.5,135,137.9,142.7,132.1,89.36,2873,4259,4646,13.34,15.29,-1.94,35.95%,49.31%,45.89%,56.87%,39.70%,42.55%
2013/8/28,132,138,132,135,138.1,142,133.15,90.68,2535,3722,4427,12.18,14.66,-2.49,29.00%,42.54%,45.89%,56.87%,37.38%,39.96%
2013/8/29,138,143.5,136,142,139.1,141.3,134.93,92.14,3745,3539,3981,11.59,14.05,-2.46,33.17%,39.42%,57.78%,61.69%,32.49%,36.23%
2013/8/30,144,148,139,139.5,139.2,139.85,136.23,93.55,3880,3447,3966,11.06,13.45,-2.4,35.93%,38.26%,52.80%,59.11%,28.84%,32.53%
2013/9/2,143,144.5,139.5,140,138.3,138.7,137.4,94.99,2743,3155,3901,10.47,12.85,-2.39,41.60%,39.37%,53.76%,59.48%,25.44%,28.99%
2013/9/3,141,142.5,136.5,140,139.3,138.6,138.18,96.4,3425,3266,3762,9.79,12.24,-2.45,45.38%,41.38%,53.76%,59.48%,23.83%,26.41%
2013/9/4,140,141.5,136.5,137,139.7,138.9,138.68,97.76,2080,3175,3448,9,11.59,-2.59,40.67%,41.14%,45.76%,55.89%,22.59%,24.50%
2013/9/5,137,139,133,134,138.1,138.6,139.45,99.07,3401,3106,3322,8.05,10.89,-2.84,31.28%,37.85%,38.82%,52.43%,18.48%,21.49%
2013/9/6,127,132,125.5,126,135.4,137.3,139.43,100.28,4627,3255,3351,6.6,10.03,-3.43,21.59%,32.43%,26.15%,44.43%,18.63%,20.06%
2013/9/9,126,128.5,118.5,120.5,131.5,134.9,138.7,101.34,4797,3666,3411,4.96,9.01,-4.05,16.66%,27.18%,20.60%,39.86%,22.07%,21.06%
2013/9/10,120.5,122,112.5,112.5,126,132.65,137.68,102.22,4303,3842,3554,3.05,7.82,-4.77,11.10%,21.82%,15.03%,34.28%,27.59%,24.33%
2013/9/11,112.5,120,112.5,120,122.6,131.15,136.58,103.21,5268,4479,3827,1.78,6.61,-4.83,14.45%,19.36%,34.84%,42.52%,29.82%,27.08%
2013/9/12,122.5,125.5,120,124,120.6,129.35,135.33,104.28,4103,4620,3863,1.18,5.53,-4.34,21.61%,20.11%,43.30%,46.42%,29.90%,28.49%
2013/9/13,124,126,121,123,120,127.7,133.78,105.34,2218,4138,3697,0.69,4.56,-3.87,26.07%,22.10%,41.68%,45.58%,28.38%,28.43%
2013/9/14,123.5,125.5,122.5,123.5,120.6,126.05,132.38,106.43,1234,3425,3546,0.34,3.72,-3.38,30.03%,24.74%,42.96%,46.11%,26.63%,27.53%
2013/9/16,124,130,123,128,123.7,124.85,131.73,107.61,2862,3137,3489,0.34,3.04,-2.7,39.51%,29.66%,53.92%,50.86%,26.21%,26.87%
2013/9/17,128,128.5,124,124,124.5,123.55,131.23,108.77,1585,2400,3440,0.16,2.46,-2.3,46.00%,35.11%,44.75%,46.86%,26.74%,26.80%
2013/9/18,124.5,128,123,127,125.1,122.85,130.73,109.96,1582,1896,3258,0.11,1.99,-1.88,58.29%,42.84%,52.08%,50.07%,26.66%,26.73%
2013/9/23,130.5,135.5,129,135.5,127.6,123.8,130.55,111.24,3475,2148,3143,0.68,1.73,-1.05,72.19%,52.62%,66.98%,57.93%,26.29%,26.51%
2013/9/24,135,137,132.5,132.5,129.4,125,129.95,112.48,2761,2453,2939,1.1,1.61,-0.51,75.34%,60.19%,59.19%,54.62%,24.57%,25.54%
2013/9/25,134,134.5,130.5,134.5,130.7,127.2,129.93,113.75,1092,2099,2618,1.41,1.57,-0.16,78.66%,66.35%,62.66%,56.43%,24.53%,25.04%
2013/9/26,134.5,136.5,130,131,132.1,128.3,129.73,114.93,1227,2027,2214,1.52,1.56,-0.04,73.27%,68.66%,53.16%,52.44%,24.32%,24.68%
2013/9/27,133,138,132,135,133.7,129.4,129.38,116.17,2406,2192,2044,1.82,1.61,0.21,75.73%,71.01%,61.22%,56.29%,23.13%,23.90%
2013/9/30,133.5,138,133.5,137.5,134.1,130.85,129.28,117.46,1144,1726,1937,2.16,1.72,0.44,82.71%,74.91%,65.66%,58.58%,22.76%,23.33%
2013/10/1,138,139,131,132.5,134.1,131.75,128.9,118.64,2982,1770,2112,2.18,1.81,0.37,74.93%,74.92%,51.52%,52.57%,21.66%,22.50%
2013/10/2,134,135.5,131,133,133.8,132.25,128.55,119.75,1735,1899,1999,2.12,1.87,0.24,70.79%,73.54%,52.74%,53.10%,20.47%,21.49%
2013/10/3,128,128,124,124,132.4,132.25,127.9,120.63,3097,2273,2150,1.4,1.78,-0.38,47.19%,64.76%,34.15%,43.62%,19.86%,20.67%
2013/10/4,124,128.5,121,121,129.6,131.65,127.25,121.49,3821,2556,2374,0.65,1.55,-0.91,31.46%,53.66%,29.93%,40.96%,19.99%,20.33%
2013/10/7,122,124.5,121,124.5,127,130.55,127.18,122.42,1943,2716,2221,0.11,1.26,-1.15,27.46%,44.92%,40.26%,45.21%,20.07%,20.20%
2013/10/8,126,126,121,125.5,125.6,129.85,127.43,123.28,1558,2431,2101,-0.24,0.96,-1.2,26.64%,38.83%,43.14%,46.41%,19.50%,19.85%
2013/10/9,123,123.5,117.5,118,122.6,128.2,127.7,123.98,2521,2588,2243,-0.93,0.58,-1.51,18.53%,32.06%,30.10%,39.35%,17.67%,18.76%
2013/10/11,120,120.5,115,119,121.6,127,127.65,124.6,2435,2456,2364,-1.53,0.16,-1.69,17.91%,27.35%,33.33%,40.66%,17.90%,18.33%
2013/10/14,120,127,118.5,127,122.8,126.2,127.8,125.34,3699,2431,2494,-1.47,-0.17,-1.3,28.61%,27.77%,53.79%,50.10%,17.69%,18.01%
2013/10/15,130.5,131.5,127,127,123.3,125.15,128,126.06,3479,2738,2727,-1.14,-0.36,-0.78,38.58%,31.37%,53.79%,50.10%,17.34%,17.68%
2013/10/16,128,130,126.5,127,123.6,124.6,128.18,126.85,1619,2751,2591,-0.91,-0.47,-0.44,49.96%,37.57%,53.79%,50.10%,17.04%,17.36%
2013/10/17,128,128.5,120.5,123,124.6,123.6,127.93,127.5,2343,2715,2652,-1.03,-0.58,-0.45,49.47%,41.54%,42.51%,45.41%,17.43%,17.39%
2013/10/18,123.5,125.5,121.5,125,125.8,123.7,127.98,128.1,1375,2503,2479,-1.07,-0.68,-0.39,53.18%,45.42%,48.94%,48.06%,17.33%,17.36%
2013/10/21,125,133.5,125,133.5,127.1,124.95,128.3,128.73,2657,2295,2363,-0.52,-0.65,0.13,68.79%,53.21%,67.47%,57.60%,17.67%,17.51%
2013/10/22,130.5,131.5,128.5,130.5,127.8,125.55,128.05,129.24,2679,2135,2437,-0.18,-0.55,0.38,73.79%,60.07%,58.48%,53.80%,17.02%,17.27%
2013/10/23,132,136,131.5,135,129.4,126.5,128.18,129.72,3622,2535,2643,0.42,-0.36,0.78,80.94%,67.02%,66.51%,58.31%,17.41%,17.34%
2013/10/24,135,143.5,133,140,132.8,128.7,128.45,130.16,5494,3165,2940,1.27,-0.03,1.3,82.62%,72.22%,73.38%,62.72%,18.69%,18.01%
2013/10/25,141,144,135,136,135,130.4,128.7,130.53,3900,3670,3087,1.81,0.34,1.47,77.07%,73.84%,61.31%,57.42%,19.28%,18.65%
2013/10/28,137,138,132,133,134.9,131,128.6,130.97,1994,3538,2916,1.91,0.65,1.26,69.11%,72.26%,53.41%,53.70%,19.03%,18.84%
2013/10/29,132,137,131.5,134,135.6,131.7,128.43,131.31,1858,3374,2754,1.98,0.92,1.06,65.22%,69.92%,55.69%,54.77%,18.40%,18.62%
2013/10/30,136.5,138.5,135,135.5,135.7,132.55,128.58,131.63,1627,2975,2755,2.17,1.17,1,64.22%,68.02%,59.28%,56.41%,18.80%,18.71%
2013/10/31,135.5,135.5,132.5,133,134.3,133.55,128.58,131.77,853,2046,2606,2.08,1.35,0.73,56.85%,64.30%,51.01%,52.92%,18.80%,18.76%
2013/11/1,134,137,133.5,134,133.9,134.45,129.08,131.88,1454,1557,2614,2.08,1.5,0.59,49.73%,59.44%,54.09%,54.16%,18.78%,18.77%
2013/11/4,134,134.5,125,125,132.3,133.6,129.28,131.99,2494,1657,2598,1.48,1.49,-0.01,33.15%,50.68%,32.23%,43.05%,18.10%,18.43%
2013/11/5,127,128,122,124,130.3,132.95,129.25,131.95,2099,1705,2540,0.76,1.35,-0.58,25.13%,42.16%,30.58%,42.01%,18.17%,18.30%
2013/11/6,117,118,115.5,115.5,126.3,131,128.75,131.63,1135,1607,2291,-0.48,0.98,-1.46,16.75%,33.69%,20.10%,34.30%,20.37%,19.34%
2013/11/7,113,118,113,114,122.5,128.4,128.55,131.31,2930,2022,2034,-1.55,0.48,-2.03,12.48%,26.62%,18.74%,33.13%,21.57%,20.45%
2013/11/8,115,118,106.5,106.5,117,125.45,127.93,130.72,6031,2938,2248,-2.81,-0.18,-2.63,8.32%,20.52%,13.33%,27.93%,25.67%,23.06%
2013/11/11,106.5,109,105.5,108.5,113.7,123,127,130.04,2436,2926,2292,-3.88,-0.92,-2.96,8.58%,16.54%,20.66%,31.08%,29.10%,26.08%
2013/11/12,110.5,111.5,101,107,110.3,120.3,126,129.26,4197,3346,2526,-4.77,-1.69,-3.08,11.27%,14.78%,19.20%,30.00%,32.43%,29.26%
2013/11/13,105,108.5,103,108,108.8,117.55,125.05,128.53,2590,3637,2622,-5.4,-2.43,-2.96,14.00%,14.52%,23.53%,31.72%,34.99%,32.12%
2013/11/14,110,110,105.5,108,107.6,115.05,124.3,127.98,2559,3563,2793,-5.74,-3.09,-2.65,16.30%,15.11%,23.53%,31.72%,37.17%,34.64%
2013/11/15,107,109,103.5,108,107.9,112.45,123.45,127.55,2680,2892,2915,-6.01,-3.68,-2.34,19.51%,16.58%,23.53%,31.72%,39.14%,36.89%
