®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF,MACD9,OSC,K,D,RSIx6,RSIx12,BBand width,Band%EMA3,TaiwanAll
2014/12/2,33.45,33.8,32.6,32.85,33.49,33.73,35.45,37.38,5775,4078,4989,-1.2,-1.03,-0.17,24.31%,20.72%,21.11%,30.13%,23.57%,23.59%,9034.79
2014/12/3,33.1,34.35,33.05,34.1,33.59,33.75,35.24,37.25,5778,4310,4995,-1.13,-1.05,-0.08,39.28%,26.91%,50.73%,42.65%,22.76%,23.17%,9175.26
2014/12/4,34.7,36.2,34.4,35.85,34,33.93,35.15,37.13,14547,6740,5916,-0.94,-1.03,0.09,56.53%,36.78%,69.79%,54.97%,21.90%,22.54%,9225.11
2014/12/5,35.9,36.4,35.55,35.6,34.37,34.04,34.99,37.02,7086,7602,6072,-0.76,-0.98,0.22,64.52%,46.03%,65.45%,53.19%,19.87%,21.20%,9206.57
2014/12/8,36,36.05,35.1,35.1,34.7,34.17,34.81,36.93,3692,7376,5903,-0.64,-0.91,0.26,65.78%,52.61%,56.95%,49.68%,17.49%,19.35%,9187.29
2014/12/9,35,35.1,34.4,34.55,35.04,34.27,34.6,36.86,4578,7136,5607,-0.6,-0.85,0.25,62.14%,55.79%,48.61%,46.03%,14.25%,16.80%,9128.9
2014/12/10,34.55,35.05,34.35,34.4,35.1,34.35,34.44,36.79,3049,6590,5450,-0.57,-0.79,0.22,58.50%,56.69%,46.39%,45.05%,11.70%,14.25%,9032.16
2014/12/11,34.2,34.55,33.9,34.2,34.77,34.39,34.33,36.73,2300,4141,5441,-0.57,-0.75,0.18,54.45%,55.94%,43.23%,43.69%,10.63%,12.44%,9013.07
2014/12/12,34.35,35.15,34.35,34.65,34.58,34.48,34.24,36.66,4051,3534,5568,-0.52,-0.7,0.18,54.28%,55.39%,52.05%,47.57%,9.00%,10.72%,9027.33
2014/12/15,34.35,34.45,33.95,34.45,34.45,34.58,34.19,36.55,2760,3348,5362,-0.5,-0.66,0.16,50.12%,53.63%,48.07%,46.03%,8.38%,9.55%,8985.63
2014/12/16,34.1,34.45,33.8,33.8,34.3,34.67,34.2,36.45,4093,3251,5193,-0.52,-0.63,0.12,33.41%,46.89%,37.02%,41.30%,8.24%,8.90%,8950.91
2014/12/17,33.9,34.15,33.45,33.45,34.11,34.61,34.18,36.34,3057,3252,4921,-0.55,-0.62,0.07,22.27%,38.69%,32.23%,38.95%,8.45%,8.67%,8828.36
2014/12/18,33.9,34.05,33.15,33.15,33.9,34.34,34.13,36.25,3979,3588,3865,-0.58,-0.61,0.03,14.85%,30.74%,28.45%,36.98%,8.85%,8.76%,8878.63
2014/12/19,33.8,33.9,33.05,33.05,33.58,34.08,34.06,36.15,5915,3961,3747,-0.61,-0.61,-0.01,9.90%,23.79%,27.17%,36.31%,9.22%,8.99%,8999.52
2014/12/22,33.1,33.7,33.1,33.5,33.39,33.92,34.04,36.07,3376,4084,3716,-0.62,-0.61,-0.01,13.74%,20.44%,41.37%,41.49%,9.33%,9.16%,9095
2014/12/23,33.65,34.05,33.6,33.9,33.41,33.86,34.06,35.99,3443,3954,3602,-0.58,-0.61,0.03,22.65%,21.18%,51.47%,45.78%,9.24%,9.20%,9097.71
2014/12/24,34,34.55,33.7,34.35,33.59,33.85,34.1,35.94,4466,4236,3744,-0.51,-0.59,0.07,35.74%,26.03%,60.62%,50.25%,9.17%,9.18%,9186.18
2014/12/25,34.5,34.65,34.3,34.55,33.87,33.89,34.14,35.88,2022,3844,3716,-0.43,-0.56,0.12,55.08%,35.71%,64.22%,52.16%,9.19%,9.19%,9158.7
2014/12/26,34.7,35.25,34.6,34.6,34.18,33.88,34.18,35.79,4408,3543,3752,-0.35,-0.51,0.17,60.20%,43.88%,65.17%,52.65%,9.19%,9.19%,9214.07
2014/12/27,34.65,34.8,34.6,34.65,34.41,33.9,34.24,35.7,1801,3228,3656,-0.28,-0.47,0.19,64.38%,50.71%,66.25%,53.18%,9.03%,9.11%,9218.5
2014/12/29,34.85,35.05,34.45,34.45,34.52,33.97,34.32,35.62,3825,3304,3629,-0.23,-0.42,0.19,64.13%,55.18%,57.67%,50.71%,8.22%,8.67%,9286.28
