丁,秨絃基,程蔼基,程基,Μ絃基,SMA5,SMA10,SMA20,SMA60,Θユ秖,MA5,MA10,DIF12-26,MACD9,OSC,"K(9,3)","D(9,3)"
2013/4/3,7949.12,7954.15,7913.77,7942.35,7908.05,7875.49,7904.33,7855.49,695.51,612.14,637.99,3.58,1.14,2.44,77.78%,62.92%
2013/4/8,7831.22,7843.1,7747.47,7752.79,7885.23,7869.59,7893.94,7856.38,911.5,661.62,658.87,-6.48,-0.38,-6.1,52.71%,59.52%
2013/4/9,7766.62,7781.13,7714.93,7728.54,7847.22,7862.82,7879.61,7855.54,707.02,687.85,664.19,-17.14,-3.73,-13.41,37.04%,52.02%
2013/4/10,7772.95,7772.95,7739.99,7752.8,7817.93,7852.49,7865.32,7854.14,669.55,713.39,671.32,-23.99,-7.78,-16.21,29.97%,44.67%
2013/4/11,7788.58,7857.98,7788.58,7857.98,7806.89,7852.65,7858.48,7855,752.11,747.14,677.76,-22.23,-10.67,-11.55,39.91%,43.08%
2013/4/12,7861.12,7864.86,7810.54,7821.63,7782.75,7845.4,7849.79,7856.11,702.82,748.6,680.37,-21.46,-12.83,-8.63,41.48%,42.55%
2013/4/15,7815.32,7835.12,7753.24,7763.53,7784.9,7835.07,7840.38,7856.81,658.76,698.05,679.83,-24.68,-15.2,-9.48,34.42%,39.84%
2013/4/16,7690.91,7801.05,7688.62,7801.05,7799.4,7823.31,7834.05,7857.85,657.66,688.18,688.02,-27.38,-17.64,-9.75,37.06%,38.91%
2013/4/17,7822.81,7822.81,7791.53,7809.07,7810.65,7814.29,7833.94,7857.81,738.16,701.9,707.65,-26.39,-19.39,-7,39.83%,39.22%
2013/4/18,7781.48,7826.13,7757.33,7791.35,7797.33,7802.11,7831.58,7857.34,748.49,701.18,724.16,-26.63,-20.83,-5.79,45.98%,41.47%
2013/4/19,7868.9,7933.72,7862.92,7930.8,7819.16,7800.95,7838.22,7859.12,877.44,736.1,742.35,-16.7,-20.01,3.31,63.59%,48.85%
2013/4/22,7976.1,7996.55,7950.01,7970.38,7860.53,7822.71,7846.15,7862.55,770.31,758.41,728.23,-4.16,-16.84,12.68,72.89%,56.86%
2013/4/23,7955.92,7968.79,7913.6,7942.77,7888.87,7844.14,7853.48,7866.58,756.46,778.17,733.18,3.33,-12.8,16.13,76.11%,63.28%
2013/4/24,7977.4,8025.45,7968.28,8023.71,7931.8,7871.23,7861.86,7873.37,837.4,798.02,749.96,14.61,-7.32,21.93,83.90%,70.15%
2013/4/25,8015.38,8026.46,7994.19,8021.75,7977.88,7887.6,7870.13,7878.18,757.39,799.8,750.49,23.74,-1.11,24.85,88.80%,76.37%
2013/4/26,8034.47,8081.37,8020.47,8022.06,7996.13,7907.65,7876.52,7883.14,923.08,808.93,772.52,32.25,5.56,26.69,87.50%,80.08%
2013/4/29,8043.71,8046.22,8014.27,8029.74,8008.01,7934.27,7884.67,7887.65,770.48,808.96,783.69,38.03,12.06,25.98,86.36%,82.17%
2013/4/30,8065.92,8115.59,8065.92,8093.66,8038.18,7963.53,7893.42,7893.47,1003.95,858.46,818.32,47.1,19.06,28.03,88.86%,84.40%
2013/5/2,8111.43,8139.49,8095.7,8128.51,8059.14,7995.47,7904.88,7900.68,883.8,867.74,832.88,56.12,26.48,29.64,91.25%,86.69%
2013/5/3,8157.51,8175.33,8121.07,8135.03,8081.8,8029.84,7915.98,7908.39,876.99,891.66,845.73,64.03,33.99,30.04,89.04%,87.47%
2013/5/6,8188.48,8197.52,8153.96,8169.05,8111.2,8053.67,7927.31,7915.96,782.97,863.64,836.28,71.95,41.58,30.37,89.35%,88.10%
2013/5/7,8177.58,8181.8,8145.1,8163.06,8137.86,8072.93,7947.82,7921.98,788.57,867.25,838.11,76.61,48.59,28.03,87.89%,88.03%
2013/5/8,8177.94,8284.09,8177.94,8267.09,8172.55,8105.37,7974.75,7929.21,958.28,858.12,858.29,86.23,56.12,30.12,89.97%,88.67%
2013/5/9,8314.37,8322.69,8279.46,8285.89,8204.02,8131.58,8001.41,7936.48,900.75,861.51,864.62,96.33,64.16,32.17,89.34%,88.90%
2013/5/10,8284.38,8297.33,8258.62,8280.26,8233.07,8157.44,8022.52,7943.55,820.41,850.2,870.93,102,71.73,30.27,88.31%,88.70%
2013/5/13,8285.45,8296.54,8230.65,8248.32,8248.92,8180.06,8043.85,7948.97,678.77,829.36,846.5,103.43,78.07,25.36,82.55%,86.65%
2013/5/14,8272.2,8295.41,8233.98,8251.82,8266.68,8202.27,8068.27,7955.05,719.66,815.58,841.41,103.56,83.17,20.39,77.96%,83.75%
2013/5/15,8264.1,8320.32,8251.51,8318.59,8276.98,8224.76,8094.15,7961.92,909.99,805.92,832.02,105.99,87.73,18.26,84.63%,84.04%
2013/5/16,8362.49,8414.88,8346.45,8390.05,8297.81,8250.92,8123.19,7969.36,1225.4,870.85,866.18,113.31,92.85,20.47,86.68%,84.92%
2013/5/17,8377.26,8402.34,8356.79,8368.19,8315.39,8274.23,8152.04,7976.15,915,889.77,869.98,116.84,97.65,19.2,85.35%,85.07%
2013/5/20,8364.95,8385.68,8347.33,8377.05,8341.14,8295.03,8174.35,7981.95,719.53,897.92,863.64,118.11,101.74,16.37,84.91%,85.02%
2013/5/21,8381.36,8420.68,8361.96,8383.05,8367.39,8317.03,8194.98,7989.04,852.44,924.47,870.02,118.99,105.19,13.8,83.34%,84.46%
2013/5/22,8414.06,8439.15,8376.21,8398.84,8383.44,8330.21,8217.79,7996.56,890.32,920.54,863.23,119.6,108.07,11.53,82.45%,83.79%
2013/5/23,8367.85,8373.09,8235.5,8237.83,8352.99,8325.4,8228.49,8000.74,1055.83,886.63,878.74,108.17,108.09,0.08,56.11%,74.56%
2013/5/24,8273.21,8277.56,8172.54,8209.78,8321.31,8318.35,8237.89,8005.11,840.85,871.8,880.78,93.71,105.21,-11.51,42.07%,63.73%
2013/5/27,8218.88,8280.1,8210.32,8280.1,8301.92,8321.53,8250.8,8011.76,595.24,846.94,872.43,84.91,101.15,-16.24,41.49%,56.32%
2013/5/28,8289.15,8303.71,8261.54,8263.05,8277.92,8322.65,8262.46,8017.85,665.02,809.45,866.96,77.87,96.5,-18.63,38.98%,50.54%
2013/5/29,8303.2,8344.21,8303.2,8337.9,8265.73,8324.58,8274.67,8024.07,810.12,793.41,856.98,76.09,92.41,-16.33,46.66%,49.24%
2013/5/30,8316.97,8316.97,8228.8,8243.29,8266.82,8309.91,8280.41,8030.33,837.3,749.71,818.17,68.02,87.54,-19.51,39.95%,46.15%
2013/5/31,8318.77,8334.44,8237.08,8254.8,8275.83,8298.57,8286.4,8035.7,1136.74,808.88,840.34,61.9,82.41,-20.51,36.92%,43.07%
2013/6/3,8177.97,8225.79,8149.45,8201.02,8260.01,8280.97,8288,8039.88,757.48,841.33,844.13,50.34,75.99,-25.65,30.55%,38.90%
2013/6/4,8243.22,8250.17,8180.39,8191.22,8245.65,8261.78,8289.41,8043.72,733.83,855.09,832.27,41.42,69.08,-27.66,26.59%,34.79%
2013/6/5,8195.52,8216.31,8161.1,8181.91,8214.45,8240.09,8285.15,8046.5,778.99,848.87,821.14,32.53,61.77,-29.24,23.28%,30.96%
2013/6/6,8135.56,8162.25,8088.31,8096.14,8185.02,8225.92,8275.66,8047.46,782.45,837.9,793.8,19.24,53.26,-34.02,16.54%,26.15%
2013/6/7,8113.95,8146.78,8071.98,8095.2,8153.1,8214.46,8266.41,8049.14,875.49,785.65,797.27,7.94,44.2,-36.26,13.87%,22.06%
2013/6/10,8161.51,8190.87,8142.71,8160.55,8145,8202.51,8262.02,8051.89,651.41,764.43,802.88,3.89,36.14,-32.25,20.09%,21.40%
2013/6/11,8178.95,8178.95,8116.15,8116.15,8129.99,8187.82,8255.24,8054.63,690.51,755.77,805.43,-1.86,28.54,-30.4,19.00%,20.60%
2013/6/13,8041.5,8057.33,7951.66,7951.66,8083.94,8149.19,8236.89,8055.03,899.71,779.91,814.39,-18.61,19.11,-37.72,12.67%,17.96%
2013/6/14,7978.75,7989.19,7912.37,7937.74,8052.26,8118.64,8214.27,8057.14,768.35,777.09,807.49,-34.23,8.44,-42.67,10.95%,15.62%
2013/6/17,7953.65,7999.43,7940.72,7992.89,8031.8,8092.45,8195.51,8059.71,569.92,715.98,750.81,-43.1,-1.87,-41.23,15.25%,15.50%
2013/6/18,7994.81,8024.95,7955.74,8011.02,8001.89,8073.45,8177.21,8063.26,625.62,710.82,737.63,-48.03,-11.1,-36.93,20.98%,17.33%
2013/6/19,8033.32,8056.19,8005.57,8007.39,7980.14,8055.07,8158.42,8066.52,663.65,705.45,730.61,-49.87,-18.85,-31.02,25.36%,20.00%
2013/6/20,7952.36,7962.76,7890.93,7898.91,7969.59,8026.77,8133.43,8068.23,806.54,686.81,733.36,-59.22,-26.93,-32.29,17.79%,19.27%
2013/6/21,7778.84,7815.79,7739.09,7793.31,7940.7,7996.48,8111.2,8067.18,1205.42,774.23,775.66,-76.04,-36.75,-39.29,15.86%,18.13%
2013/6/24,7788.45,7815.1,7744.49,7758.03,7893.73,7962.77,8088.61,8065.54,835.23,827.29,771.63,-89.67,-47.33,-42.34,12.01%,16.09%
2013/6/25,7750.34,7792.27,7663.23,7663.23,7824.17,7913.03,8057.77,8061.7,939.48,890.06,800.44,-105.18,-58.9,-46.28,8.01%,13.40%
2013/6/26,7789.34,7821.14,7742.2,7784.8,7779.66,7879.9,8033.86,8060.33,938.45,945.03,825.24,-109.14,-68.95,-40.19,15.65%,14.15%
2013/6/27,7841.32,7884.13,7834.33,7883.9,7776.65,7873.12,8011.16,8059.75,901.44,964,825.41,-103.94,-75.95,-28,29.15%,19.15%
2013/6/28,7928.54,8062.21,7891.06,8062.21,7830.43,7885.57,8002.1,8062.47,941.23,911.17,842.7,-86.9,-78.14,-8.76,52.77%,30.36%
2013/7/1,8011.95,8063.47,7974.15,8036,7886.03,7889.88,7991.16,8064.51,797.8,903.68,865.49,-71.91,-76.89,4.98,66.22%,42.31%
2013/7/2,8061.84,8064.12,8012.79,8015.86,7956.55,7890.36,7981.91,8065.74,741.95,864.17,877.12,-59.38,-73.39,14.01,73.47%,52.70%
2013/7/3,7991.53,7995.3,7899.08,7911.42,7981.88,7880.77,7967.92,8068.38,864.28,849.34,897.18,-56.68,-70.05,13.37,69.62%,58.34%
2013/7/4,7919.26,7927.08,7877.06,7893.72,7983.84,7880.25,7953.51,8071.14,720.82,813.22,888.61,-56.43,-67.32,10.89,65.58%,60.75%
2013/7/5,7932.3,8018.93,7926.35,8001.82,7971.76,7901.1,7948.79,8075.29,789.15,782.8,846.98,-48.46,-63.55,15.09,71.87%,64.46%
2013/7/8,7980.11,7992.16,7885,7886.34,7941.83,7913.93,7938.35,8075.76,750.25,773.29,838.49,-47.63,-60.37,12.73,62.84%,63.92%
2013/7/9,7891.53,7975.64,7891.37,7971.18,7932.9,7944.73,7928.88,8078.25,741.04,773.11,818.64,-43.26,-56.95,13.69,61.74%,63.19%
2013/7/10,7974.99,8057.92,7974.99,8011.69,7952.95,7967.41,7923.66,8082.39,871.05,774.46,811.9,-34.42,-52.44,18.02,65.15%,63.85%
2013/7/11,8080.97,8179.54,8080.97,8179.54,8010.11,7996.98,7935.05,8088.69,1106.25,851.55,832.38,-15.86,-45.13,29.26,76.77%,68.15%
2013/7/12,8187.86,8220.49,8169.92,8220.49,8053.85,8012.81,7949.19,8095.55,877.65,869.25,826.02,3.08,-35.48,38.57,84.51%,73.61%
2013/7/15,8178.26,8254.68,8175.55,8254.68,8127.52,8034.67,7962.28,8103.27,843.14,887.83,830.56,20.05,-24.38,44.42,89.68%,78.96%
2013/7/16,8243.62,8260.11,8222.17,8260.11,8185.3,8059.1,7974.73,8108.76,905.96,920.81,846.96,34.36,-12.63,46.99,93.12%,83.68%
2013/7/17,8239.1,8260.25,8208.71,8258.95,8234.75,8093.85,7987.31,8113.57,960.87,938.77,856.62,44.88,-1.13,46,95.30%,87.55%
2013/7/18,8238.28,8265.7,8181.99,8194.88,8237.82,8123.97,8002.11,8117.77,957.18,908.96,880.25,49.62,9.02,40.6,90.66%,88.59%
2013/7/19,8117.94,8139.81,8046.7,8062.03,8206.13,8129.99,8015.54,8118.41,1024.32,938.29,903.77,42.27,15.67,26.6,75.64%,84.27%
2013/7/22,8092.03,8137.37,8092.03,8105.45,8176.28,8151.9,8032.92,8119.81,778.7,925.41,906.62,38.61,20.26,18.35,65.38%,77.98%
2013/7/23,8152.72,8220.89,8145.09,8214.65,8167.19,8176.25,8060.49,8123.02,1027.16,949.65,935.23,42.38,24.68,17.7,69.15%,75.04%
2013/7/24,8222.85,8233.1,8172.23,8196.19,8154.64,8194.7,8081.06,8125.79,874.44,932.36,935.57,44.91,28.73,16.18,68.86%,72.98%
2013/7/25,8173.19,8203.49,8140.41,8163.58,8148.38,8193.1,8095.04,8126.96,842.36,909.39,909.18,43.85,31.75,12.09,63.69%,69.88%
2013/7/26,8188.36,8222.82,8135.73,8149.4,8165.85,8185.99,8099.4,8127.31,719.72,848.48,893.38,42.24,33.85,8.39,58.09%,65.95%
2013/7/29,8146.14,8163.89,8074.29,8084.5,8161.66,8168.97,8101.82,8126.46,668.27,826.39,875.9,35.51,34.18,1.33,44.48%,58.80%
2013/7/30,8113.17,8176.74,8112.91,8163.55,8151.44,8159.32,8109.21,8126.37,717.04,764.37,857.01,34.02,34.15,-0.13,47.44%,55.01%
2013/7/31,8163.44,8170.57,8107.6,8107.94,8133.79,8144.22,8119.03,8125.45,823.37,754.15,843.26,30.01,33.32,-3.31,42.58%,50.87%
2013/8/1,8110.73,8113.4,8056.22,8056.22,8112.32,8130.35,8127.16,8121.94,761.62,738,823.7,22.3,31.12,-8.82,28.39%,43.37%
2013/8/2,8114.51,8162.91,8087.1,8099.88,8102.42,8134.14,8132.06,8118.84,867.69,767.6,808.04,19.35,28.76,-9.41,27.15%,37.97%
2013/8/5,8104.2,8143.44,8075.99,8138.63,8113.24,8137.45,8144.68,8116.48,731.41,780.23,803.31,17.76,26.56,-8.81,33.63%,36.52%
2013/8/6,8129.85,8129.85,8028.93,8038.91,8088.32,8119.88,8148.06,8112.99,836.09,804.04,784.2,11.12,23.47,-12.36,24.14%,32.39%
2013/8/7,7993.57,7993.57,7921.29,7921.29,8050.99,8092.39,8143.54,8107.48,783.51,796.07,775.11,-3.77,18.03,-21.79,16.09%,26.96%
2013/8/8,7910.2,7932.35,7894.18,7907.67,8021.28,8066.8,8129.95,8100.63,830.01,809.75,773.87,-17.69,10.88,-28.57,12.32%,22.08%
2013/8/9,7955,7955,7853.97,7856.14,7972.53,8037.47,8111.73,8091.73,783.84,792.98,780.29,-30.8,2.55,-33.35,8.44%,17.53%
2013/8/12,7878.22,7908.68,7862.04,7903.38,7925.48,8019.36,8094.17,8083.98,646.21,775.93,778.08,-39.6,-5.88,-33.72,10.83%,15.30%
2013/8/13,7935.79,7986.27,7935.79,7986.27,7914.95,8001.63,8080.48,8077.47,817.41,772.2,788.12,-39.72,-12.65,-27.07,21.49%,17.36%
2013/8/14,7978.74,7981.56,7926.23,7951.33,7920.96,7985.97,8065.09,8070.28,798.79,775.25,785.66,-41.04,-18.33,-22.71,24.83%,19.85%
2013/8/15,7903.01,7916.02,7850.27,7887.26,7916.88,7969.08,8049.71,8061.75,806.3,770.51,790.13,-46.99,-24.06,-22.92,20.76%,20.16%
2013/8/16,7854.68,7949.43,7850.49,7925,7930.65,7951.59,8042.86,8056.54,771.13,767.97,780.47,-48.93,-29.04,-19.9,22.75%,21.02%
2013/8/19,7937.45,7944.74,7888.87,7900.21,7930.01,7927.75,8032.6,8051.38,739.42,786.61,781.27,-50.21,-33.27,-16.94,26.78%,22.94%
2013/8/20,7896.38,7924.52,7829.78,7832.65,7899.29,7907.12,8013.5,8043.92,850.85,793.3,782.75,-54.92,-37.6,-17.32,18.47%,21.45%
2013/8/22,7779.44,7825.56,7737.33,7814.38,7871.9,7896.43,7994.41,8036.44,921.09,817.76,796.5,-62.53,-42.59,-19.95,22.63%,21.84%
2013/8/23,7863.73,7895.13,7845.92,7873.31,7869.11,7892.99,7979.9,8028.7,737.46,803.99,787.25,-61.88,-46.45,-15.43,33.29%,25.66%
2013/8/26,7906.52,7913.74,7874.05,7894.97,7863.1,7896.88,7967.17,8022.89,597.94,769.35,768.66,-58.87,-48.93,-9.94,43.30%,31.54%
2013/8/27,7875.93,7895.23,7820.84,7820.84,7847.23,7888.62,7953.99,8015.66,713.62,764.19,775.4,-60.22,-51.19,-9.03,40.27%,34.45%
2013/8/28,7776.87,7834.11,7761.76,7824.54,7845.61,7872.45,7937.04,8009.39,634.94,721.01,757.15,-62.85,-53.52,-9.33,40.55%,36.48%
2013/8/29,7841.99,7931.05,7841.99,7917.66,7866.26,7869.08,7927.53,8004.83,759.85,688.76,753.26,-56.94,-54.2,-2.74,55.37%,42.78%
2013/8/30,7949.99,8021.89,7936.82,8021.89,7895.98,7882.55,7925.81,8002.16,822.09,705.69,754.84,-43.8,-52.12,8.32,70.25%,51.94%
2013/9/2,8010.15,8052.71,7993.13,8038.86,7924.76,7893.93,7922.76,8001.2,724.01,730.9,750.13,-30.6,-47.82,17.22,78.70%,60.86%
2013/9/3,8095.66,8102.66,8067.62,8088.37,7978.26,7912.75,7920.25,8001.09,818.08,751.79,757.99,-15.44,-41.34,25.9,84.50%,68.74%
2013/9/4,8066.67,8094.12,8041.49,8083.44,8030.04,7937.83,7922.47,7999.81,764.43,777.69,749.35,-4.28,-33.93,29.65,87.79%,75.09%
2013/9/5,8109.24,8169.1,8107.22,8169.1,8080.33,7973.3,7934.86,8000.69,948.67,815.45,752.11,10.73,-25,35.73,91.86%,80.68%
2013/9/6,8180.53,8182.56,8155.5,8164.2,8108.79,8002.39,7947.69,8004.23,934.21,837.88,771.78,23.41,-15.32,38.72,93.12%,84.82%
2013/9/9,8176.47,8192.11,8117.87,8192.11,8139.44,8032.1,7964.49,8008.47,857.08,864.49,797.7,33.63,-5.53,39.15,95.41%,88.35%
2013/9/10,8217.21,8238.91,8155.87,8208.77,8163.52,8070.89,7979.76,8012.07,894.38,879.75,815.77,43.6,4.3,39.31,94.41%,90.37%
2013/9/11,8174.54,8208.99,8137.07,8208.99,8188.63,8109.34,7990.89,8015.37,898.7,906.61,842.15,49.96,13.43,36.53,92.97%,91.24%
2013/9/12,8180.38,8226.61,8177.03,8225.36,8199.89,8140.11,8004.6,8019,875.69,892.01,853.73,56.18,21.98,34.2,93.48%,91.98%
2013/9/13,8210.15,8228.67,8162.14,8168.2,8200.69,8154.74,8018.64,8023.49,656.37,836.44,837.16,57.87,29.16,28.71,83.71%,89.23%
2013/9/14,8169.41,8176.76,8142.48,8142.48,8190.76,8165.1,8029.52,8029.31,392.94,743.62,804.05,56.08,34.54,21.54,72.86%,83.77%
2013/9/16,8189.61,8255.34,8189.61,8255.34,8200.07,8181.8,8047.27,8037.6,769.92,718.72,799.24,61.05,39.84,21.21,81.91%,83.15%
2013/9/17,8241.03,8249.78,8218.94,8249.78,8208.23,8198.43,8068.13,8047.37,671.21,673.23,789.92,64.5,44.77,19.73,86.59%,84.30%
2013/9/18,8248.18,8263.05,8209.18,8209.18,8205,8202.44,8087.87,8054.44,745.69,647.23,769.62,64.92,48.8,16.12,78.69%,82.43%
2013/9/23,8226.8,8293.03,8221.34,8292.83,8229.92,8215.3,8108.85,8061.26,872.78,690.51,763.48,68.68,52.78,15.9,85.75%,83.54%
2013/9/24,8295.5,8310.94,8265.55,8299.12,8261.25,8226.01,8129.05,8065.21,816.77,775.27,759.44,72.34,56.69,15.65,88.23%,85.10%
2013/9/25,8283.6,8285.28,8253.43,8283.9,8266.96,8233.52,8152.21,8069.34,770.66,775.42,747.07,73.02,59.96,13.06,86.81%,85.67%
2013/9/26,8290.1,8290.1,8184.68,8184.68,8253.94,8231.09,8170.21,8072.15,724.19,786.02,729.62,67.49,61.46,6.03,66.22%,79.19%
2013/9/27,8222.13,8244.86,8207.72,8230.68,8258.24,8231.62,8185.86,8077.48,785.4,793.96,720.59,63.78,61.93,1.85,61.60%,73.32%
2013/9/30,8174.86,8204.4,8137.11,8173.87,8234.45,8232.19,8193.46,8082.14,722.55,763.91,727.21,55.66,60.67,-5.01,48.12%,64.92%
2013/10/1,8173.99,8222.38,8172.79,8187.02,8212.03,8236.64,8200.87,8085.23,678.16,736.19,755.73,50.26,58.59,-8.33,41.65%,57.16%
2013/10/2,8215.96,8228.81,8204.34,8216.52,8198.55,8232.76,8207.28,8090.73,801.38,742.34,758.88,47.4,56.35,-8.96,42.99%,52.44%
2013/10/3,8231.68,8376.79,8231.68,8359.02,8233.42,8243.68,8221.06,8097.2,1157.99,829.1,807.56,53.79,55.84,-2.05,59.52%,54.80%
2013/10/4,8345.82,8376.06,8336.61,8364.55,8260.2,8259.22,8230.83,8103.08,928.91,857.8,825.88,60.48,56.77,3.72,71.31%,60.31%
2013/10/7,8354.91,8361.5,8323.79,8333.66,8292.15,8263.3,8239.3,8105.65,907.76,894.84,829.38,63.26,58.07,5.19,74.88%,65.16%
2013/10/8,8340.33,8375.65,8311.59,8375.65,8329.88,8270.96,8248.48,8108.23,866.71,932.55,834.37,66.43,59.74,6.69,83.09%,71.14%
2013/10/9,8352.25,8378.37,8330.79,8344.73,8355.52,8277.04,8255.28,8109.73,864.86,945.25,843.79,67.36,61.26,6.1,84.08%,75.45%
2013/10/11,8407.45,8433.53,8349.37,8349.37,8353.59,8293.51,8262.3,8111.22,946.38,902.92,866.01,68.98,62.81,6.17,79.92%,76.94%
2013/10/14,8339.99,8343.65,8269.16,8273.96,8335.47,8297.84,8264.73,8111.47,797.88,876.72,867.26,63.06,62.86,0.2,66.22%,73.37%
2013/10/15,8320.48,8368.02,8320.48,8367.88,8342.32,8317.24,8274.71,8114.36,834.94,862.15,878.5,62.96,62.88,0.08,67.93%,71.55%
2013/10/16,8384.03,8384.03,8332.18,8332.18,8333.62,8331.75,8284.2,8118.86,761.31,841.07,886.81,61.29,62.56,-1.27,61.88%,68.33%
2013/10/17,8390.88,8415.16,8364.89,8374.68,8339.61,8347.57,8290.16,8123.35,818.39,831.78,888.51,62.25,62.5,-0.25,62.65%,66.44%
2013/10/18,8416.33,8441.19,8390.32,8441.19,8357.98,8355.79,8299.73,8127.12,855.93,813.69,858.31,65.98,63.19,2.78,75.10%,69.33%
2013/10/21,8456.68,8459.3,8400.06,8419.32,8387.05,8361.26,8310.24,8130.84,800.94,814.3,845.51,67.83,64.12,3.71,76.39%,71.68%
2013/10/22,8407.62,8425.31,8376.27,8418.27,8397.13,8369.72,8316.51,8135.08,781.19,803.55,832.85,67.31,64.76,2.55,77.07%,73.48%
2013/10/23,8419.8,8438.95,8380.15,8393.62,8409.42,8371.52,8321.24,8139.16,767.88,804.87,822.97,65.5,64.91,0.59,73.20%,73.38%
2013/10/24,8364.45,8413.72,8346.52,8413.72,8417.22,8378.42,8327.73,8144.64,710.43,783.27,807.53,62.97,64.52,-1.55,74.14%,73.64%
2013/10/25,8380.31,8390.25,8322.15,8346.62,8398.31,8378.14,8335.83,8147.69,815.31,775.15,794.42,56.63,62.94,-6.31,55.70%,67.66%
2013/10/28,8365.43,8414.81,8348.42,8407.83,8396.01,8391.53,8344.68,8152.69,660.8,747.12,780.71,54.48,61.25,-6.77,57.96%,64.43%
2013/10/29,8394.85,8432.9,8380.21,8420.98,8396.55,8396.84,8357.04,8158.77,687.68,728.42,765.99,53.69,59.74,-6.05,62.66%,63.84%
2013/10/30,8429.4,8465.06,8419.21,8465.06,8410.84,8410.13,8370.94,8164.86,757.58,726.36,765.61,55.64,58.92,-3.28,75.11%,67.59%
2013/10/31,8437.76,8469.58,8424.47,8450.06,8418.11,8417.67,8382.62,8170.05,849.25,754.12,768.7,56.13,58.36,-2.23,78.99%,71.39%
2013/11/1,8474.47,8476.63,8378.94,8388.18,8426.42,8412.37,8384.08,8175.87,785.2,748.1,761.63,52.64,57.22,-4.58,66.91%,69.90%
2013/11/4,8371.83,8371.83,8333.63,8354.14,8415.68,8405.85,8383.56,8183.08,837.73,783.49,765.3,44.95,54.76,-9.81,51.51%,63.77%
2013/11/5,8354.92,8372.8,8262.2,8262.2,8383.93,8390.24,8379.98,8188.99,922.28,830.41,779.41,33.34,50.48,-17.14,34.34%,53.96%
2013/11/6,8275.07,8297.57,8232.5,8281.97,8347.31,8379.08,8375.3,8196.09,783.73,835.64,781,22.56,44.9,-22.33,29.65%,45.85%
2013/11/7,8298.06,8298.06,8250.72,8283.71,8314.04,8366.08,8372.25,8202.43,800.17,825.82,789.97,14.31,38.78,-24.47,26.76%,39.49%
2013/11/8,8235.3,8266.72,8216.33,8229.59,8282.32,8354.37,8366.26,8206.48,739.78,816.74,782.42,4.2,31.86,-27.66,19.54%,32.84%
2013/11/11,8228.9,8242.41,8168.92,8182.56,8248.01,8331.85,8361.69,8210.34,625.95,774.38,778.93,-7.07,24.08,-31.14,14.50%,26.73%
2013/11/12,8233.62,8233.62,8160.17,8195.26,8234.62,8309.27,8353.06,8215.47,780.34,745.99,788.2,-15.66,16.13,-31.79,13.36%,22.27%
2013/11/13,8199.26,8199.26,8104.26,8104.26,8199.08,8273.19,8341.66,8218.46,672.65,723.78,779.71,-27.64,7.37,-35.02,8.91%,17.82%
2013/11/14,8137.82,8161.7,8100.73,8134.91,8169.32,8241.68,8329.67,8222.37,746.14,712.97,769.4,-36.31,-1.36,-34.95,10.13%,15.25%
2013/11/15,8168.9,8210.1,8160.28,8177.12,8158.82,8220.57,8316.47,8228.11,698.39,704.7,760.72,-38.86,-8.86,-29.99,16.11%,15.54%
2013/11/18,8201.85,8226.61,8186.47,8191.46,8160.6,8204.3,8305.08,8234.4,662.16,711.94,743.16,-38.98,-14.89,-24.1,26.07%,19.05%
2013/11/19,8215,8260.82,8215,8260.21,8173.59,8204.11,8297.17,8240.84,770.11,709.89,727.94,-34.64,-18.84,-15.81,44.32%,27.47%
2013/11/20,8250.31,8262.91,8204.46,8204.46,8193.63,8196.35,8287.72,8246,791.24,733.61,728.69,-33.24,-21.72,-11.52,50.38%,35.11%
2013/11/21,8197.86,8203.45,8093.82,8099.45,8186.54,8177.93,8272,8250.65,748.84,734.15,723.56,-39.34,-25.24,-14.1,34.69%,34.97%
2013/11/22,8107.98,8142.72,8107.98,8116.78,8174.47,8166.65,8260.51,8255.52,658.7,726.21,715.45,-43.92,-28.98,-14.94,27.66%,32.53%
2013/11/25,8182.9,8217.62,8182.9,8187.51,8173.68,8167.14,8249.49,8260.01,664.96,726.77,719.35,-41.19,-31.42,-9.77,36.91%,33.99%
2013/11/26,8200.7,8281.38,8187.28,8248.02,8171.24,8172.42,8240.85,8263.78,903.34,753.42,731.65,-34.81,-32.1,-2.71,52.01%,40.00%
2013/11/27,8287.63,8312.32,8279.51,8295.88,8189.53,8191.58,8232.39,8268.07,745.72,744.31,738.96,-25.05,-30.69,5.64,65.50%,48.50%
2013/11/28,8320.65,8377.81,8320.65,8362.43,8242.12,8214.33,8228.01,8272.63,861.96,766.94,750.54,-12.34,-27.02,14.68,75.19%,57.40%
2013/11/29,8374.14,8414.79,8365.32,8406.83,8300.13,8237.3,8228.94,8278.02,857.98,806.79,766.5,1.17,-21.38,22.55,82.64%,65.81%
2013/12/2,8429.24,8437.13,8391.82,8414.61,8345.55,8259.62,8231.96,8282.12,682.88,810.38,768.57,13.01,-14.5,27.52,86.24%,72.62%
2013/12/3,8407.74,8418.23,8390.73,8392.55,8374.46,8272.85,8238.48,8285.92,719.79,773.67,763.54,20.87,-7.43,28.3,86.50%,77.24%
2013/12/4,8379.44,8435.23,8375.79,8418,8398.88,8294.21,8245.28,8289.69,808.68,786.26,765.28,27.84,-0.37,28.22,89.06%,81.18%
