®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF12-26,MACD9,OSC,K,D,RSI 6,RSI 12,BBand width,Band%EMA3,TaiwnaAll
2016/8/8,9.05,9.05,8.8,8.81,9.21,9.16,9.05,8.04,259,164,199,0.29,0.33,-0.04,27.69%,42.37%,36.63%,48.60%,10.08%,12.35%,9150.26
2016/8/9,8.81,9,8.81,8.88,9.09,9.16,9.04,8.07,132,140,191,0.25,0.31,-0.06,20.68%,35.14%,40.50%,50.32%,10.20%,11.28%,9155.08
2016/8/10,8.88,9.49,8.88,9.22,9.09,9.19,9.04,8.11,111,147,187,0.24,0.3,-0.06,25.46%,31.91%,56.11%,57.79%,10.32%,10.80%,9200.42
2016/8/11,8.85,9.2,8.85,9.2,9.05,9.21,9.06,8.15,87,137,171,0.22,0.28,-0.06,28.08%,30.63%,55.09%,57.24%,10.24%,10.52%,9131.83
2016/8/12,9.15,9.17,8.88,9.03,9.03,9.2,9.07,8.18,118,141,170,0.2,0.27,-0.07,25.16%,28.81%,46.47%,52.58%,9.60%,10.06%,9150.39
2016/8/15,9.02,9.02,8.88,8.95,9.06,9.13,9.08,8.22,48,99,132,0.17,0.25,-0.07,20.98%,26.20%,42.70%,50.47%,9.56%,9.81%,9148.51
2016/8/16,8.85,8.95,8.85,8.95,9.07,9.08,9.07,8.25,18,76,108,0.15,0.23,-0.08,18.19%,23.53%,42.70%,50.47%,9.59%,9.70%,9110.36
2016/8/17,8.95,9,8.83,8.98,9.02,9.06,9.08,8.28,94,73,110,0.13,0.21,-0.08,20.34%,22.47%,45.10%,51.34%,9.46%,9.58%,9117.7
2016/8/18,8.98,9.07,8.8,8.88,8.96,9.01,9.08,8.31,74,70,104,0.11,0.19,-0.08,17.43%,20.79%,38.62%,48.25%,9.50%,9.54%,9122.5
2016/8/19,8.99,8.99,8.94,8.94,8.94,8.98,9.08,8.34,26,52,97,0.1,0.17,-0.07,18.38%,19.99%,44.38%,50.21%,9.27%,9.40%,9034.27
2016/8/22,9,9,8.8,8.94,8.94,9,9.08,8.36,30,48,74,0.08,0.15,-0.07,19.02%,19.66%,44.38%,50.21%,9.34%,9.37%,8981.81
2016/8/23,8.8,8.9,8.8,8.9,8.93,9,9.08,8.39,277,100,88,0.07,0.14,-0.07,21.01%,20.11%,40.71%,48.75%,9.32%,9.35%,9030.93
2016/8/24,8.9,9.04,8.8,9.04,8.94,8.98,9.09,8.42,88,99,86,0.06,0.12,-0.06,35.63%,25.28%,55.99%,53.88%,9.17%,9.26%,9017.38
2016/8/25,9.04,9.05,8.88,9,8.96,8.96,9.09,8.45,67,98,84,0.06,0.11,-0.05,48.44%,33.00%,51.44%,52.25%,9.20%,9.23%,9115.47
2016/8/26,9,9.42,9,9.11,9,8.97,9.08,8.48,143,121,87,0.07,0.1,-0.03,48.96%,38.32%,61.70%,56.23%,9.19%,9.21%,9131.72
2016/8/29,9.11,9.29,9.06,9.2,9.05,8.99,9.06,8.52,150,145,97,0.08,0.1,-0.02,54.15%,43.60%,68.28%,59.25%,7.57%,8.39%,9110.17
2016/8/30,9.1,9.19,9.08,9.17,9.1,9.02,9.05,8.55,65,103,101,0.08,0.09,-0.01,55.99%,47.73%,63.89%,57.80%,6.61%,7.50%,9110.56
2016/8/31,9.05,9.05,8.91,9,9.1,9.02,9.04,8.57,34,92,95,0.07,0.09,-0.02,48.08%,47.85%,44.45%,50.19%,6.37%,6.93%,9068.85
2016/9/1,8.99,9.05,8.99,9,9.1,9.03,9.02,8.58,19,82,90,0.06,0.09,-0.02,42.81%,46.17%,44.45%,50.19%,5.21%,6.07%,9001.15
2016/9/2,8.96,9.11,8.96,9.01,9.08,9.04,9.01,8.6,79,69,95,0.06,0.08,-0.02,39.83%,44.05%,45.85%,50.64%,5.04%,5.55%,8987.55
2016/9/5,9.05,9.05,8.94,8.95,9.03,9.04,9.02,8.61,40,47,96,0.05,0.07,-0.02,34.62%,40.91%,38.83%,47.78%,4.65%,5.10%,9090.13
2016/9/6,8.88,9,8.88,9,8.99,9.05,9.02,8.64,9,36,69,0.04,0.07,-0.03,30.48%,37.43%,46.95%,50.33%,4.44%,4.77%,9181.85
2016/9/7,9,9.04,9,9.04,9,9.05,9.01,8.66,29,35,64,0.04,0.06,-0.02,30.20%,35.02%,52.95%,52.36%,3.97%,4.37%,9259.07
2016/9/8,9.2,9.9,9.2,9.45,9.09,9.09,9.03,8.69,473,126,104,0.07,0.06,0.01,38.76%,36.27%,80.32%,67.30%,5.54%,4.96%,9262.89
2016/9/9,9.62,10.2,9.62,9.71,9.23,9.15,9.06,8.72,743,259,164,0.13,0.08,0.05,46.80%,39.78%,86.36%,73.13%,8.58%,6.77%,9164.88
2016/9/10,9.45,9.76,9.24,9.38,9.32,9.17,9.08,8.75,157,282,165,0.14,0.09,0.05,43.83%,41.13%,58.85%,58.65%,9.01%,7.89%,9053.69
2016/9/12,9.4,9.4,9.2,9.31,9.38,9.19,9.1,8.78,73,295,166,0.13,0.1,0.03,40.08%,40.78%,54.44%,56.08%,9.14%,8.51%,8947.06
2016/9/13,9.4,9.4,9.23,9.26,9.42,9.21,9.11,8.8,76,304,170,0.12,0.1,0.02,36.31%,39.29%,51.15%,54.23%,9.16%,8.83%,8940.83
2016/9/14,9.26,9.75,9.23,9.45,9.42,9.26,9.14,8.83,206,251,189,0.13,0.11,0.02,38.60%,39.06%,61.70%,59.74%,9.34%,9.09%,8902.3
2016/9/19,9.49,9.7,9.49,9.62,9.4,9.32,9.18,8.86,201,143,201,0.15,0.12,0.03,44.42%,40.85%,68.91%,63.97%,10.11%,9.60%,9152.88
2016/9/20,9.6,9.6,9.42,9.58,9.44,9.38,9.21,8.89,145,140,211,0.15,0.12,0.03,45.73%,42.47%,65.43%,62.29%,10.47%,10.03%,9161.58
2016/9/21,9.5,9.66,9.49,9.64,9.51,9.44,9.25,8.92,138,153,224,0.16,0.13,0.03,45.15%,43.37%,68.31%,63.85%,10.70%,10.37%,9228.5
2016/9/22,9.7,9.7,9.42,9.58,9.57,9.5,9.27,8.95,244,187,246,0.16,0.14,0.02,42.77%,43.17%,62.10%,61.10%,10.91%,10.64%,9235.26
2016/9/23,9.58,9.98,9.58,9.95,9.67,9.55,9.32,8.99,464,238,245,0.19,0.15,0.04,60.56%,48.97%,77.34%,69.83%,12.20%,11.42%,9284.62
2016/9/26,10.2,10.9,10.2,10.9,9.93,9.67,9.41,9.05,631,324,234,0.27,0.17,0.1,73.71%,57.21%,89.88%,81.48%,18.79%,15.10%,9194.52
2016/9/29,11.95,11.95,11.95,11.95,10.4,9.92,9.55,9.12,374,370,255,0.43,0.22,0.21,82.47%,65.63%,94.16%,87.36%,29.53%,22.32%,9270.9
2016/9/30,11.95,12.8,11,12.2,10.92,10.21,9.7,9.19,2654,873,513,0.56,0.29,0.27,82.71%,71.33%,94.79%,88.32%,37.31%,29.81%,9166.85
2016/10/3,12.1,12.2,11.3,11.75,11.35,10.46,9.84,9.26,982,1021,604,0.63,0.36,0.27,78.12%,73.59%,76.88%,76.83%,40.37%,35.09%,9234.2
2016/10/4,11.9,12.2,11.5,11.8,11.72,10.7,9.98,9.32,633,1055,647,0.68,0.42,0.26,75.55%,74.24%,77.45%,77.19%,42.50%,38.80%,9287.77
2016/10/5,12,12.95,11.6,12.95,12.13,11.03,10.17,9.4,2146,1358,841,0.78,0.49,0.29,83.70%,77.40%,86.56%,83.58%,47.84%,43.32%,9272.28
2016/10/6,13.3,14.1,13.15,13.5,12.44,11.42,10.4,9.49,3137,1910,1140,0.92,0.58,0.34,84.86%,79.88%,89.09%,85.68%,53.11%,48.21%,9284.31
2016/10/7,13.15,14,12.5,13.35,12.67,11.79,10.62,9.56,1741,1728,1301,1.01,0.67,0.34,84.38%,81.38%,83.92%,82.55%,55.83%,52.02%,9265.81
2016/10/11,13.4,13.4,12.05,12.4,12.8,12.08,10.79,9.61,1613,1854,1438,1,0.73,0.27,75.05%,79.27%,58.23%,65.89%,55.03%,53.53%,9219.82
2016/10/12,12.2,12.5,11.85,11.95,12.83,12.28,10.91,9.67,717,1871,1463,0.94,0.77,0.17,60.25%,72.93%,49.60%,59.67%,53.94%,53.73%,9252.6
2016/10/13,12.3,12.5,11.85,12.1,12.66,12.4,11.03,9.72,599,1561,1460,0.89,0.8,0.09,52.00%,65.95%,52.42%,61.01%,53.16%,53.45%,9219.17
2016/10/14,11.9,12.35,11.5,11.9,12.34,12.39,11.16,9.77,781,1090,1500,0.83,0.8,0.02,41.81%,57.90%,48.11%,58.20%,51.14%,52.29%,9165.17
