Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF12-26,MACD9,OSC,K,D,RSI 6,RSI 12,BBand width,Band%EMA3
2011/7/20,872,872,866,872,894.4,923,982.75,1115.87,4044,7847,9951,-60.72,-52.31,-8.41,17.00%,19.78%,33.73%,35.85%,30.44%,28.94%
2011/7/21,904,920,900,920,892.6,913,974.25,1109.78,9898,8027,10269,-57.71,-53.39,-4.31,29.11%,22.89%,48.23%,42.88%,29.44%,29.19%
2011/7/22,935,935,912,922,895.6,908.2,967.35,1103.98,5209,7744,8919,-54.07,-53.53,-0.54,42.04%,29.28%,48.79%,43.16%,28.84%,29.01%
2011/7/25,918,934,918,918,905,901.7,960.25,1097.62,3025,6406,8125,-50.67,-52.96,2.29,52.59%,37.05%,47.55%,42.70%,27.96%,28.49%
2011/7/26,930,976,928,970,920.4,907.2,956.75,1092.12,8962,6228,7916,-44.31,-51.23,6.92,66.83%,46.97%,62.40%,50.25%,27.03%,27.76%
2011/7/27,975,986,962,962,938.4,916.4,955.4,1087.98,6000,6619,7233,-38.26,-48.63,10.37,72.09%,55.35%,59.30%,49.16%,26.90%,27.33%
2011/7/28,939,939,899,901,934.6,913.6,952.15,1082.92,11915,7022,7525,-37.72,-46.45,8.73,60.86%,57.18%,40.77%,41.66%,27.42%,27.37%
2011/7/29,883,902,845,858,921.8,908.7,944.55,1076.38,13229,8626,8185,-40.39,-45.24,4.85,43.65%,52.67%,32.25%,37.29%,28.34%,27.85%
2011/8/1,888,888,844,860,910.2,907.6,934.8,1070.22,8818,9785,8095,-42.25,-44.64,2.39,32.85%,46.07%,33.03%,37.62%,27.50%,27.68%
2011/8/2,860,900,850,898,895.8,908.1,926.7,1065.02,7800,9552,7890,-41.34,-43.98,2.64,34.58%,42.24%,46.97%,43.79%,24.98%,26.33%
2011/8/3,875,881,858,871,877.6,908,915.5,1059.87,6568,9666,8142,-41.46,-43.48,2.02,29.39%,37.95%,39.89%,40.68%,19.35%,22.84%
2011/8/4,888,888,851,852,867.8,901.2,907.1,1054.48,6508,8585,7803,-41.84,-43.15,1.31,21.47%,32.46%,35.39%,38.57%,17.34%,20.09%
2011/8/5,793,808,793,798,855.8,888.8,898.5,1047.12,10649,8069,8347,-46.56,-43.83,-2.73,15.18%,26.70%,25.55%,33.23%,19.25%,19.67%
2011/8/8,798,817,785,796,843,876.6,889.15,1040.38,8254,7956,8870,-49.79,-45.02,-4.77,11.94%,21.78%,25.23%,33.04%,19.87%,19.77%
2011/8/9,748,814,746,786,820.6,858.2,882.7,1034.15,9757,8347,8950,-52.99,-46.62,-6.38,14.87%,19.48%,23.51%,32.07%,22.24%,21.00%
2011/8/10,817,828,809,820,810.4,844,880.2,1028.32,8520,8738,9202,-52,-47.7,-4.31,25.73%,21.56%,40.17%,38.76%,23.13%,22.07%
2011/8/11,800,833,788,825,805,836.4,875,1022.32,9311,9298,8941,-50.76,-48.31,-2.45,34.25%,25.79%,42.39%,39.71%,23.29%,22.68%
2011/8/12,839,850,800,800,805.4,830.6,869.65,1015.65,7984,8765,8417,-49.62,-48.57,-1.05,34.52%,28.70%,34.68%,36.61%,24.33%,23.50%
2011/8/15,835,835,813,827,811.6,827.3,867.45,1009.35,5158,8146,8051,-47.13,-48.28,1.15,42.03%,33.14%,47.13%,41.95%,24.76%,24.13%
2011/8/16,825,851,825,827,819.8,820.2,864.15,1003.22,9785,8152,8249,-44.08,-47.44,3.36,47.03%,37.77%,47.13%,41.95%,25.02%,24.58%
2011/8/17,827,835,801,801,816,813.2,860.6,997.07,7379,7923,8331,-43.02,-46.56,3.54,48.82%,41.45%,37.28%,38.26%,25.90%,25.24%
2011/8/18,800,811,746,773,805.6,805.3,853.25,990.62,13812,8824,9061,-44.4,-46.13,1.73,41.12%,41.34%,29.35%,34.66%,26.76%,26.00%
2011/8/19,749,758,719,719,789.4,797.4,843.1,982.68,11582,9543,9154,-48.72,-46.64,-2.07,27.41%,36.70%,19.67%,28.95%,29.33%,27.66%
2011/8/22,711,732,700,708,765.6,788.6,832.6,974.82,9420,10396,9271,-52.88,-47.89,-4.99,20.04%,31.14%,18.20%,27.93%,31.66%,29.66%
2011/8/23,714,750,714,749,750,784.9,821.55,967.8,10406,10520,9336,-53.27,-48.97,-4.3,24.18%,28.82%,38.67%,36.98%,29.32%,29.49%
2011/8/24,749,754,728,740,737.8,776.9,810.45,959.8,8411,10726,9325,-52.97,-49.77,-3.2,24.95%,27.53%,36.28%,35.90%,26.35%,27.92%
2011/8/25,774,778,750,750,733.2,769.4,802.9,951.55,6629,9290,9057,-50.81,-49.98,-0.83,27.67%,27.58%,41.13%,38.09%,25.23%,26.57%
2011/8/26,760,774,756,767,742.8,766.1,798.35,944.25,4327,7839,8691,-47.82,-49.55,1.72,33.24%,29.46%,49.05%,41.79%,24.83%,25.70%
2011/8/29,772,782,768,768,754.8,760.2,793.75,936.38,3521,6659,8527,-44.5,-48.54,4.04,38.95%,32.62%,49.53%,42.01%,24.12%,24.91%
2011/8/30,773,796,762,762,757.4,753.7,786.95,927.67,6829,5943,8232,-41.47,-47.12,5.66,44.58%,36.61%,46.39%,40.99%,21.28%,23.10%
2011/8/31,756,760,724,756,760.6,749.2,781.2,919.43,8433,5948,8337,-40.33,-45.76,5.43,49.17%,40.80%,43.11%,39.93%,19.26%,21.18%
2011/9/1,771,791,766,766,763.8,748.5,776.9,911.37,7607,6143,7717,-37.13,-44.04,6.91,55.69%,45.76%,50.16%,42.62%,17.51%,19.34%
2011/9/2,770,770,736,741,758.6,750.7,774.05,904.3,7348,6748,7293,-36.21,-42.47,6.26,48.11%,46.54%,36.56%,37.97%,17.83%,18.59%
2011/9/5,720,720,703,707,746.4,750.6,769.6,898,11601,8364,7511,-38.09,-41.6,3.5,33.50%,42.20%,25.35%,32.68%,19.25%,18.92%
2011/9/6,700,716,694,708,735.6,746.5,765.7,890.63,9132,8824,7384,-39.35,-41.15,1.8,26.91%,37.10%,26.15%,32.98%,20.45%,19.68%
2011/9/7,736,757,722,757,735.8,748.2,762.55,885.42,10411,9220,7584,-36.56,-40.23,3.67,38.53%,37.58%,54.68%,45.86%,19.48%,19.58%
2011/9/8,783,793,773,783,739.2,751.5,760.45,881.85,11394,9977,8060,-31.18,-38.42,7.24,54.77%,43.31%,63.63%,51.28%,18.23%,18.90%
2011/9/9,795,812,786,810,753,755.8,760.95,878.72,8475,10203,8475,-24.9,-35.72,10.82,69.28%,51.97%,70.81%,56.25%,18.55%,18.72%
2011/9/13,786,794,768,770,765.6,756,758.1,874.93,8913,9665,9014,-22.01,-32.97,10.97,67.66%,57.20%,52.41%,48.30%,16.87%,17.80%
2011/9/14,775,785,746,760,776,755.8,754.75,870.6,8044,9447,9136,-20.5,-30.48,9.98,63.75%,59.38%,48.62%,46.50%,14.75%,16.27%
2011/9/15,780,780,760,763,777.2,756.5,752.85,865.4,7579,8881,9050,-18.8,-28.14,9.35,61.99%,60.25%,49.93%,47.14%,13.72%,15.00%
2011/9/16,770,790,764,788,778.2,758.7,753.6,860.37,7461,8094,9036,-15.97,-25.71,9.74,67.88%,62.79%,60.06%,52.35%,14.12%,14.56%
2011/9/19,778,780,748,748,765.8,759.4,755.05,855.17,7424,7884,9043,-15.68,-23.7,8.02,60.51%,62.03%,43.25%,44.67%,13.48%,14.02%
2011/9/20,748,769,748,762,764.2,764.9,757.75,850.2,6123,7326,8496,-14.94,-21.95,7.01,55.15%,59.74%,49.22%,47.61%,12.18%,13.10%
2011/9/21,758,768,749,750,762.2,769.1,757.8,845.37,6226,6963,8205,-14.67,-20.49,5.82,38.79%,52.76%,44.42%,45.36%,12.17%,12.63%
2011/9/22,728,738,710,710,751.6,764.4,756.3,840.72,9509,7349,8115,-17.26,-19.85,2.59,25.86%,43.79%,31.94%,38.71%,13.25%,12.94%
2011/9/23,680,692,675,679,729.8,754,752.75,835.93,11194,8095,8095,-21.95,-20.27,-1.68,18.36%,35.31%,25.33%,34.44%,16.04%,14.49%
2011/9/26,679,688,637,638,707.8,736.8,746.3,829.73,10354,8681,8283,-27.84,-21.78,-6.06,12.46%,27.70%,19.06%,29.72%,20.88%,17.69%
2011/9/27,657,674,627,646,684.6,724.4,740.2,822.92,13171,10091,8709,-32.3,-23.89,-8.41,12.19%,22.53%,23.50%,31.71%,23.93%,20.81%
2011/9/28,658,691,655,691,672.8,717.5,736.65,816.77,12205,11287,9125,-32.73,-25.66,-7.08,21.22%,22.09%,44.14%,41.84%,24.56%,22.68%
2011/9/29,685,709,677,679,666.6,709.1,732.8,809.83,9713,11327,9338,-32.38,-27,-5.38,25.47%,23.22%,40.63%,40.11%,25.47%,24.08%
2011/9/30,690,700,682,685,667.8,698.8,728.75,804.25,6979,10484,9290,-31.58,-27.92,-3.66,30.60%,25.68%,43.33%,41.43%,25.86%,24.97%
2011/10/3,670,680,655,663,672.8,690.3,724.85,799.13,8287,10071,9376,-32.4,-28.81,-3.59,28.91%,26.75%,36.10%,38.07%,27.11%,26.04%
2011/10/4,641,672,638,672,678,681.3,723.1,793.95,7518,8940,9516,-32.82,-29.61,-3.2,32.79%,28.76%,40.94%,40.23%,27.85%,26.95%
2011/10/5,681,690,674,676,675,673.9,721.5,789.97,5815,7662,9475,-31.53,-30,-1.54,41.78%,33.10%,43.23%,41.23%,28.44%,27.69%
